|#SOURCE_ID|RA|DEC|NVSS_FLUX|INT_SPEC_INDX|3C_NAME|PKS_JNAME|PKS_1410_FLUX|PKS_635_FLUX|PKS_408_FLUX|PKS_SPEC_INDX 
0|2447|30.050592|-30.890731|3.827065|-0.77605|No-3C|PKS-J0200-3053|3.6|7.1|10.3|-0.775802
1|4389|258.699244|-25.243304|2.792596|-0.871239|No-3C|No-PKS|0.0|0.0|0.0|0.0
2|4414|258.314548|-25.042818|7.426383|-0.685836|No-3C|No-PKS|0.0|0.0|0.0|0.0
3|4472|258.203155|-24.57245|1.229687|-0.508611|No-3C|No-PKS|0.0|0.0|0.0|0.0
4|4614|260.223996|-23.660828|2.003298|-0.816754|No-3C|No-PKS|0.0|0.0|0.0|0.0
5|5136|193.38785|15.708397|1.881995|-0.913199|No-3C|PKS-J1253+1542|1.7|0.0|5.83|-0.861044
6|5236|190.990115|16.381301|2.926873|-0.865892|No-3C|PKS-J1243+1622|2.9|0.0|9.35|-0.893771
7|7331|83.607201|27.539959|1.057389|-0.67705|No-3C|No-PKS|0.0|0.0|0.0|0.0
8|7494|85.311159|28.71101|1.403772|-0.711124|No-3C|No-PKS|0.0|0.0|0.0|0.0
9|10523|133.78942|-7.250851|1.191532|-0.509283|3C209|PKS-J0855-0714|1.2|0.0|2.49|-0.734407
10|11347|187.276513|2.051155|55.339714|-0.322505|3C273|PKS-J1229+0203|42.0|0.0|55.1|-0.333677
11|11544|186.218493|3.513891|1.315544|0.381477|No-3C|PKS-J1224+0330|0.72|0.9|0.0|-0.322421
12|15074|11.172337|-35.509133|2.573455|-0.605852|No-3C|PKS-J0044-3530|2.3|0.0|5.79|-0.691981
13|16585|208.234845|11.11877|1.593823|-0.354839|No-3C|PKS-J1352+1107|0.0|0.0|3.62|-0.587983
14|16776|206.889273|12.289984|5.546404|0.178428|No-3C|PKS-J1347+1217|5.08|7.18|8.78|-0.125112
15|17108|340.97837|18.246014|1.028579|-0.802495|No-3C|PKS-J2243+1814|1.1|0.0|3.04|-0.830776
16|19308|265.995152|-3.834771|1.441269|0.222644|No-3C|PKS-J1743-0350|1.17|0.0|1.43|-0.181195
