#SOURCE_ID | RA | DEC | NVSS_FLUX | INT_SPEC_INDX | 3C_NAME | PKS_JNAME | PKS_1410_FLUX | PKS_635_FLUX | PKS_408_FLUX | PKS_SPEC_INDX 
4414|258.314548|-25.042818|7.426383|-0.685836|No-3C|No-PKS|0.000000|0.000000|0.000000|0.000000
11347|187.276513|2.051155|55.339714|-0.322505|3C273|PKS-J1229+0203|42.000000|0.000000|55.100000|-0.333677
16776|206.889273|12.289984|5.546404|0.178428|No-3C|PKS-J1347+1217|5.080000|7.180000|8.780000|-0.125112
34900|270.749580|-21.801693|6.109029|1.720739|No-3C|No-PKS|0.000000|0.000000|0.000000|0.000000
35037|272.345631|-20.319133|35.227062|2.264952|No-3C|No-PKS|0.000000|0.000000|0.000000|0.000000
35065|272.243321|-20.087742|8.024625|1.756664|No-3C|No-PKS|0.000000|0.000000|0.000000|0.000000
35138|272.879626|-19.427833|13.223433|-0.668774|No-3C|No-PKS|0.000000|0.000000|0.000000|0.000000
51965|49.740790|16.475822|8.248794|0.037814|No-3C|PKS-J0318+1628|8.300000|0.000000|8.060000|-0.029389
98433|187.705512|12.388655|142.316559|-0.550627|3C274|PKS-J1230+1223|220.000000|0.000000|519.000000|-0.713582
98434|187.705517|12.388647|153.332825|-0.575785|3C274|PKS-J1230+1223|220.000000|0.000000|519.000000|-0.713582
98503|186.267810|12.885343|6.062761|-0.403029|No-3C|PKS-J1225+1253|6.000000|0.000000|12.200000|-0.557891
103435|83.630784|22.018364|727.483215|0.699894|3C144|PKS-J0534+2200|0.000000|0.000000|0.000000|0.000000
109377|152.000195|7.504472|6.721457|-0.629594|3C237|PKS-J1007+0730|6.600000|0.000000|15.400000|-0.651439
109379|152.000207|7.504464|6.849847|-0.636411|3C237|PKS-J1007+0730|6.600000|0.000000|15.400000|-0.651439
130615|83.824945|-5.389300|206.441849|2.948219|3C145|PKS-J0535-0523|410.000000|0.000000|450.000000|0.000000
138994|259.606694|-39.315977|10.073893|1.909443|No-3C|No-PKS|0.000000|0.000000|0.000000|0.000000
139018|260.026509|-38.966937|17.163208|2.091508|No-3C|No-PKS|0.000000|0.000000|0.000000|0.000000
139019|260.031550|-38.939296|5.748071|1.684746|No-3C|No-PKS|0.000000|0.000000|0.000000|0.000000
139071|258.623458|-38.524687|5.314275|-0.766223|No-3C|No-PKS|0.000000|0.000000|0.000000|0.000000
