% f (Hz),   G_rec (dB), T_e_rec (K) 
 900000000,  55.23,   8.40
 901000000,  55.21,   8.48
 902000000,  55.19,   8.46
 903000000,  55.17,   8.36
 904000000,  55.12,   8.36
 905000000,  55.11,   8.36
 906000000,  55.09,   8.29
 907000000,  55.06,   8.22
 908000000,  55.04,   8.24
 909000000,  55.03,   8.37
 910000000,  55.00,   8.29
 911000000,  54.98,   8.11
 912000000,  54.97,   8.09
 913000000,  54.94,   8.10
 914000000,  54.93,   8.01
 915000000,  54.91,   7.98
 916000000,  54.90,   8.03
 917000000,  54.89,   7.94
 918000000,  54.88,   7.95
 919000000,  54.88,   7.95
 920000000,  54.87,   7.95
 921000000,  54.86,   7.95
 922000000,  54.85,   7.91
 923000000,  54.84,   7.94
 924000000,  54.82,   7.97
 925000000,  54.83,   8.02
 926000000,  54.81,   8.00
 927000000,  54.82,   7.96
 928000000,  54.82,   7.89
 929000000,  54.83,   7.83
 930000000,  54.83,   7.82
 931000000,  54.84,   7.83
 932000000,  54.85,   7.81
 933000000,  54.86,   7.85
 934000000,  54.87,   7.90
 935000000,  54.88,   7.90
 936000000,  54.89,   7.82
 937000000,  54.90,   7.87
 938000000,  54.92,   7.92
 939000000,  54.93,   7.85
 940000000,  54.94,   7.81
 941000000,  54.95,   7.80
 942000000,  54.98,   7.88
 943000000,  54.99,   7.93
 944000000,  55.00,   7.78
 945000000,  55.02,   7.70
 946000000,  55.03,   7.73
 947000000,  55.04,   7.74
 948000000,  55.05,   7.76
 949000000,  55.07,   7.68
 950000000,  55.08,   7.61
 951000000,  55.09,   7.61
 952000000,  55.11,   7.61
 953000000,  55.11,   7.56
 954000000,  55.12,   7.53
 955000000,  55.12,   7.57
 956000000,  55.14,   7.57
 957000000,  55.14,   7.52
 958000000,  55.15,   7.55
 959000000,  55.15,   7.54
 960000000,  55.14,   7.47
 961000000,  55.14,   7.40
 962000000,  55.14,   7.43
 963000000,  55.14,   7.53
 964000000,  55.13,   7.44
 965000000,  55.13,   7.35
 966000000,  55.12,   7.30
 967000000,  55.11,   7.28
 968000000,  55.11,   7.31
 969000000,  55.10,   7.24
 970000000,  55.10,   7.13
 971000000,  55.09,   7.21
 972000000,  55.08,   7.14
 973000000,  55.08,   7.09
 974000000,  55.06,   7.12
 975000000,  55.06,   7.18
 976000000,  55.05,   7.10
 977000000,  55.03,   7.09
 978000000,  55.02,   7.10
 979000000,  55.00,   7.01
 980000000,  54.99,   6.90
 981000000,  54.98,   6.96
 982000000,  54.96,   7.07
 983000000,  54.95,   7.12
 984000000,  54.92,   7.05
 985000000,  54.92,   6.93
 986000000,  54.90,   6.97
 987000000,  54.89,   7.02
 988000000,  54.88,   7.04
 989000000,  54.86,   7.08
 990000000,  54.84,   6.99
 991000000,  54.83,   7.01
 992000000,  54.81,   7.07
 993000000,  54.80,   7.09
 994000000,  54.78,   7.12
 995000000,  54.77,   7.09
 996000000,  54.76,   7.06
 997000000,  54.75,   7.09
 998000000,  54.74,   7.13
 999000000,  54.74,   7.16
1000000000,  54.72,   7.17
1001000000,  54.72,   7.14
1002000000,  54.71,   7.13
1003000000,  54.71,   7.14
1004000000,  54.70,   7.18
1005000000,  54.69,   7.11
1006000000,  54.70,   7.20
1007000000,  54.69,   7.20
1008000000,  54.70,   7.19
1009000000,  54.70,   7.33
1010000000,  54.68,   7.39
1011000000,  54.70,   7.43
1012000000,  54.69,   7.29
1013000000,  54.70,   7.28
1014000000,  54.71,   7.28
1015000000,  54.71,   7.35
1016000000,  54.71,   7.38
1017000000,  54.72,   7.40
1018000000,  54.74,   7.46
1019000000,  54.73,   7.38
1020000000,  54.75,   7.44
1021000000,  54.76,   7.54
1022000000,  54.76,   7.53
1023000000,  54.78,   7.57
1024000000,  54.79,   7.55
1025000000,  54.80,   7.45
1026000000,  54.81,   7.55
1027000000,  54.83,   7.54
1028000000,  54.83,   7.58
1029000000,  54.85,   7.59
1030000000,  54.87,   7.58
1031000000,  54.88,   7.61
1032000000,  54.90,   7.66
1033000000,  54.90,   7.69
1034000000,  54.90,   7.52
1035000000,  54.92,   7.59
1036000000,  54.93,   7.67
1037000000,  54.94,   7.67
1038000000,  54.96,   7.56
1039000000,  54.96,   7.53
1040000000,  54.98,   7.57
1041000000,  55.00,   7.60
1042000000,  55.01,   7.70
1043000000,  55.03,   7.70
1044000000,  55.04,   7.61
1045000000,  55.05,   7.62
1046000000,  55.06,   7.55
1047000000,  55.07,   7.45
1048000000,  55.08,   7.41
1049000000,  55.09,   7.54
1050000000,  55.09,   7.59
1051000000,  55.10,   7.59
1052000000,  55.11,   7.56
