% f (Hz),G_rec (dB),T_e_rec (K)
 900000000,  57.20,   7.05
 901000000,  57.18,   7.25
 902000000,  57.17,   7.13
 903000000,  57.15,   7.09
 904000000,  57.12,   7.03
 905000000,  57.11,   7.18
 906000000,  57.09,   7.17
 907000000,  57.07,   6.95
 908000000,  57.05,   6.94
 909000000,  57.04,   7.33
 910000000,  57.02,   7.06
 911000000,  57.00,   6.85
 912000000,  56.98,   7.05
 913000000,  56.96,   7.07
 914000000,  56.95,   6.96
 915000000,  56.93,   7.09
 916000000,  56.92,   6.95
 917000000,  56.91,   6.88
 918000000,  56.90,   6.91
 919000000,  56.90,   6.98
 920000000,  56.89,   6.80
 921000000,  56.88,   6.97
 922000000,  56.88,   7.03
 923000000,  56.87,   6.68
 924000000,  56.86,   6.91
 925000000,  56.87,   6.87
 926000000,  56.86,   6.85
 927000000,  56.86,   6.94
 928000000,  56.86,   6.90
 929000000,  56.86,   7.03
 930000000,  56.86,   6.91
 931000000,  56.86,   6.92
 932000000,  56.87,   6.79
 933000000,  56.87,   6.89
 934000000,  56.87,   6.93
 935000000,  56.88,   6.86
 936000000,  56.88,   6.77
 937000000,  56.89,   6.83
 938000000,  56.89,   6.76
 939000000,  56.89,   6.81
 940000000,  56.89,   6.69
 941000000,  56.90,   6.82
 942000000,  56.91,   6.60
 943000000,  56.91,   6.60
 944000000,  56.91,   6.62
 945000000,  56.92,   6.62
 946000000,  56.92,   6.74
 947000000,  56.92,   6.60
 948000000,  56.92,   6.56
 949000000,  56.92,   6.67
 950000000,  56.93,   6.51
 951000000,  56.93,   6.73
 952000000,  56.93,   6.66
 953000000,  56.92,   6.48
 954000000,  56.92,   6.63
 955000000,  56.91,   6.64
 956000000,  56.92,   6.48
 957000000,  56.92,   6.46
 958000000,  56.91,   6.77
 959000000,  56.91,   6.49
 960000000,  56.90,   6.65
 961000000,  56.89,   6.62
 962000000,  56.88,   6.50
 963000000,  56.88,   6.46
 964000000,  56.87,   6.37
 965000000,  56.85,   6.43
 966000000,  56.84,   6.35
 967000000,  56.82,   6.52
 968000000,  56.82,   6.48
 969000000,  56.80,   6.61
 970000000,  56.79,   6.54
 971000000,  56.77,   6.44
 972000000,  56.76,   6.56
 973000000,  56.75,   6.65
 974000000,  56.71,   6.69
 975000000,  56.71,   6.48
 976000000,  56.70,   6.54
 977000000,  56.68,   6.68
 978000000,  56.67,   6.47
 979000000,  56.65,   6.63
 980000000,  56.64,   6.59
 981000000,  56.62,   6.49
 982000000,  56.60,   6.58
 983000000,  56.59,   6.56
 984000000,  56.57,   6.45
 985000000,  56.57,   6.79
 986000000,  56.55,   6.74
 987000000,  56.54,   6.68
 988000000,  56.53,   6.73
 989000000,  56.51,   6.88
 990000000,  56.50,   6.64
 991000000,  56.48,   6.74
 992000000,  56.47,   6.59
 993000000,  56.46,   6.77
 994000000,  56.45,   6.74
 995000000,  56.43,   6.87
 996000000,  56.43,   6.91
 997000000,  56.42,   6.73
 998000000,  56.41,   6.83
 999000000,  56.41,   6.85
1000000000,  56.39,   6.78
1001000000,  56.39,   7.01
1002000000,  56.38,   6.99
1003000000,  56.38,   7.00
1004000000,  56.37,   6.90
1005000000,  56.36,   6.93
1006000000,  56.37,   6.94
1007000000,  56.35,   7.00
1008000000,  56.36,   6.93
1009000000,  56.36,   7.08
1010000000,  56.34,   6.95
1011000000,  56.36,   7.06
1012000000,  56.35,   7.02
1013000000,  56.36,   6.99
1014000000,  56.36,   7.25
1015000000,  56.35,   7.29
1016000000,  56.35,   7.12
1017000000,  56.36,   7.04
1018000000,  56.37,   7.31
1019000000,  56.37,   7.20
1020000000,  56.38,   7.17
1021000000,  56.38,   7.37
1022000000,  56.38,   7.29
1023000000,  56.39,   7.31
1024000000,  56.39,   7.35
1025000000,  56.40,   7.32
1026000000,  56.40,   7.29
1027000000,  56.40,   7.40
1028000000,  56.40,   7.17
