% f (Hz),G_rec (dB),T_e_rec (K)
 900000000,  57.58,   8.90
 901000000,  57.56,   9.02
 902000000,  57.54,   9.04
 903000000,  57.52,   9.00
 904000000,  57.49,   9.00
 905000000,  57.47,   8.93
 906000000,  57.45,   8.81
 907000000,  57.43,   8.82
 908000000,  57.41,   8.77
 909000000,  57.40,   8.72
 910000000,  57.37,   8.76
 911000000,  57.35,   8.74
 912000000,  57.34,   8.66
 913000000,  57.32,   8.64
 914000000,  57.31,   8.58
 915000000,  57.29,   8.47
 916000000,  57.28,   8.57
 917000000,  57.26,   8.61
 918000000,  57.25,   8.55
 919000000,  57.24,   8.55
 920000000,  57.23,   8.53
 921000000,  57.21,   8.51
 922000000,  57.20,   8.54
 923000000,  57.18,   8.61
 924000000,  57.16,   8.61
 925000000,  57.16,   8.55
 926000000,  57.13,   8.56
 927000000,  57.13,   8.53
 928000000,  57.11,   8.53
 929000000,  57.11,   8.56
 930000000,  57.10,   8.59
 931000000,  57.09,   8.62
 932000000,  57.09,   8.56
 933000000,  57.07,   8.60
 934000000,  57.06,   8.63
 935000000,  57.06,   8.51
 936000000,  57.05,   8.51
 937000000,  57.04,   8.54
 938000000,  57.04,   8.45
 939000000,  57.03,   8.47
 940000000,  57.01,   8.45
 941000000,  57.01,   8.46
 942000000,  57.01,   8.51
 943000000,  56.99,   8.53
 944000000,  56.98,   8.50
 945000000,  56.97,   8.36
 946000000,  56.96,   8.36
 947000000,  56.94,   8.32
 948000000,  56.93,   8.37
 949000000,  56.92,   8.46
 950000000,  56.91,   8.35
 951000000,  56.89,   8.32
 952000000,  56.88,   8.32
 953000000,  56.86,   8.34
 954000000,  56.85,   8.36
 955000000,  56.83,   8.28
 956000000,  56.83,   8.28
 957000000,  56.81,   8.32
 958000000,  56.80,   8.31
 959000000,  56.78,   8.24
 960000000,  56.77,   8.20
 961000000,  56.75,   8.23
 962000000,  56.74,   8.21
 963000000,  56.73,   8.25
 964000000,  56.71,   8.21
 965000000,  56.69,   8.04
 966000000,  56.68,   8.02
 967000000,  56.65,   8.12
 968000000,  56.65,   8.18
 969000000,  56.63,   8.03
 970000000,  56.61,   8.03
 971000000,  56.59,   8.00
 972000000,  56.58,   7.88
 973000000,  56.57,   8.01
 974000000,  56.54,   8.02
 975000000,  56.53,   8.00
 976000000,  56.52,   8.05
 977000000,  56.50,   7.96
 978000000,  56.49,   7.98
 979000000,  56.47,   8.02
 980000000,  56.46,   7.97
 981000000,  56.45,   8.02
 982000000,  56.43,   7.95
 983000000,  56.42,   8.03
 984000000,  56.41,   7.99
 985000000,  56.40,   7.94
 986000000,  56.39,   7.97
 987000000,  56.38,   8.00
 988000000,  56.37,   7.99
 989000000,  56.36,   7.95
 990000000,  56.35,   8.00
 991000000,  56.34,   8.10
 992000000,  56.34,   7.98
 993000000,  56.32,   8.10
 994000000,  56.31,   8.15
 995000000,  56.30,   8.22
 996000000,  56.30,   8.30
 997000000,  56.30,   8.16
 998000000,  56.29,   8.28
 999000000,  56.29,   8.29
1000000000,  56.28,   8.29
1001000000,  56.28,   8.29
1002000000,  56.28,   8.30
1003000000,  56.28,   8.35
1004000000,  56.28,   8.31
1005000000,  56.27,   8.41
1006000000,  56.28,   8.39
1007000000,  56.27,   8.26
1008000000,  56.28,   8.31
1009000000,  56.27,   8.36
1010000000,  56.26,   8.47
1011000000,  56.28,   8.37
1012000000,  56.27,   8.40
1013000000,  56.28,   8.52
1014000000,  56.28,   8.54
1015000000,  56.27,   8.57
1016000000,  56.27,   8.59
1017000000,  56.28,   8.54
1018000000,  56.29,   8.59
1019000000,  56.28,   8.63
1020000000,  56.29,   8.59
1021000000,  56.29,   8.54
1022000000,  56.29,   8.63
1023000000,  56.30,   8.65
1024000000,  56.31,   8.65
1025000000,  56.31,   8.63
1026000000,  56.32,   8.71
1027000000,  56.32,   8.73
1028000000,  56.32,   8.74
1029000000,  56.33,   8.66
1030000000,  56.34,   8.69
1031000000,  56.34,   8.68
1032000000,  56.35,   8.66
1033000000,  56.35,   8.62
1034000000,  56.34,   8.56
1035000000,  56.36,   8.71
1036000000,  56.35,   8.67
1037000000,  56.35,   8.71
1038000000,  56.36,   8.74
1039000000,  56.36,   8.66
1040000000,  56.37,   8.61
1041000000,  56.37,   8.73
1042000000,  56.37,   8.78
1043000000,  56.37,   8.73
1044000000,  56.37,   8.65
1045000000,  56.37,   8.71
1046000000,  56.37,   8.64
1047000000,  56.37,   8.55
1048000000,  56.36,   8.67
1049000000,  56.36,   8.68
1050000000,  56.34,   8.69
1051000000,  56.35,   8.70
1052000000,  56.34,   8.61
1053000000,  56.35,   8.63
1054000000,  56.33,   8.64
1055000000,  56.34,   8.63
1056000000,  56.32,   8.68
1057000000,  56.32,   8.55
1058000000,  56.32,   8.70
1059000000,  56.30,   8.71
1060000000,  56.30,   8.66
1061000000,  56.29,   8.61
1062000000,  56.29,   8.61
1063000000,  56.28,   8.66
1064000000,  56.27,   8.60
1065000000,  56.26,   8.62
1066000000,  56.25,   8.68
1067000000,  56.25,   8.62
1068000000,  56.25,   8.60
1069000000,  56.23,   8.61
1070000000,  56.23,   8.72
1071000000,  56.22,   8.62
1072000000,  56.21,   8.62
1073000000,  56.20,   8.74
1074000000,  56.19,   8.86
1075000000,  56.19,   8.80
1076000000,  56.18,   8.71
1077000000,  56.17,   8.74
1078000000,  56.17,   8.58
1079000000,  56.17,   8.69
1080000000,  56.15,   8.67
1081000000,  56.15,   8.60
1082000000,  56.14,   8.72
1083000000,  56.14,   8.74
1084000000,  56.13,   8.85
1085000000,  56.12,   8.80
1086000000,  56.12,   8.76
1087000000,  56.10,   8.67
1088000000,  56.11,   8.80
1089000000,  56.11,   8.84
1090000000,  56.10,   8.85
1091000000,  56.10,   8.84
1092000000,  56.10,   8.89
1093000000,  56.08,   8.91
1094000000,  56.10,   8.93
1095000000,  56.09,   8.96
1096000000,  56.09,   9.01
1097000000,  56.10,   9.01
1098000000,  56.10,   9.05
1099000000,  56.11,   8.85
1100000000,  56.11,   8.97
1101000000,  56.11,   9.03
1102000000,  56.12,   8.94
1103000000,  56.12,   8.93
1104000000,  56.14,   9.04
1105000000,  56.13,   9.11
1106000000,  56.14,   9.07
1107000000,  56.14,   9.03
1108000000,  56.16,   9.02
1109000000,  56.16,   9.12
1110000000,  56.17,   9.03
1111000000,  56.18,   9.16
1112000000,  56.18,   9.15
1113000000,  56.19,   9.18
1114000000,  56.18,   9.05
1115000000,  56.20,   9.16
1116000000,  56.21,   9.09
1117000000,  56.23,   9.17
1118000000,  56.23,   9.20
1119000000,  56.23,   9.21
1120000000,  56.25,   9.21
1121000000,  56.26,   9.17
1122000000,  56.26,   9.13
1123000000,  56.28,   9.28
1124000000,  56.28,   9.20
1125000000,  56.30,   9.20
1126000000,  56.32,   9.32
1127000000,  56.33,   9.18
1128000000,  56.35,   9.16
1129000000,  56.36,   9.12
1130000000,  56.36,   9.14
1131000000,  56.38,   9.08
1132000000,  56.39,   9.13
1133000000,  56.40,   9.26
1134000000,  56.40,   9.27
1135000000,  56.42,   9.22
1136000000,  56.43,   9.16
1137000000,  56.43,   9.21
1138000000,  56.45,   9.23
1139000000,  56.45,   9.19
1140000000,  56.46,   9.23
1141000000,  56.47,   9.21
1142000000,  56.48,   9.20
1143000000,  56.50,   9.30
1144000000,  56.51,   9.06
1145000000,  56.51,   9.15
1146000000,  56.52,   9.15
1147000000,  56.52,   9.13
1148000000,  56.53,   9.11
1149000000,  56.53,   9.04
1150000000,  56.54,   9.05
1151000000,  56.54,   9.15
1152000000,  56.54,   9.03
1153000000,  56.54,   8.94
1154000000,  56.56,   9.11
1155000000,  56.55,   8.97
1156000000,  56.56,   8.94
1157000000,  56.56,   8.92
1158000000,  56.56,   8.97
1159000000,  56.56,   9.04
1160000000,  56.56,   9.07
1161000000,  56.55,   9.04
1162000000,  56.56,   8.89
1163000000,  56.56,   8.81
1164000000,  56.55,   8.86
1165000000,  56.55,   8.98
1166000000,  56.53,   8.88
1167000000,  56.54,   8.93
1168000000,  56.53,   8.98
1169000000,  56.52,   8.94
1170000000,  56.51,   9.01
1171000000,  56.52,   8.83
1172000000,  56.51,   8.94
1173000000,  56.50,   9.04
1174000000,  56.49,   8.92
1175000000,  56.48,   8.91
1176000000,  56.48,   9.00
1177000000,  56.47,   8.94
1178000000,  56.46,   9.00
1179000000,  56.46,   9.04
1180000000,  56.44,   9.04
1181000000,  56.43,   8.96
1182000000,  56.42,   9.02
1183000000,  56.42,   8.96
1184000000,  56.40,   9.04
1185000000,  56.39,   8.92
1186000000,  56.38,   9.02
1187000000,  56.35,   9.08
1188000000,  56.35,   9.06
1189000000,  56.34,   9.04
1190000000,  56.34,   9.16
1191000000,  56.32,   9.21
1192000000,  56.32,   9.23
1193000000,  56.30,   9.10
1194000000,  56.30,   9.06
1195000000,  56.29,   9.20
1196000000,  56.28,   9.13
1197000000,  56.27,   9.15
1198000000,  56.26,   9.18
1199000000,  56.26,   9.26
1200000000,  56.24,   9.06
1201000000,  56.24,   9.18
1202000000,  56.24,   9.24
1203000000,  56.23,   9.38
1204000000,  56.22,   9.33
1205000000,  56.22,   9.18
1206000000,  56.21,   9.34
1207000000,  56.20,   9.34
1208000000,  56.19,   9.26
1209000000,  56.19,   9.33
1210000000,  56.18,   9.49
1211000000,  56.18,   9.41
1212000000,  56.18,   9.45
1213000000,  56.17,   9.53
1214000000,  56.17,   9.57
1215000000,  56.17,   9.49
1216000000,  56.17,   9.45
1217000000,  56.16,   9.54
1218000000,  56.17,   9.51
1219000000,  56.18,   9.55
1220000000,  56.18,   9.56
1221000000,  56.18,   9.53
1222000000,  56.19,   9.50
1223000000,  56.19,   9.71
1224000000,  56.19,   9.70
1225000000,  56.20,   9.78
1226000000,  56.21,   9.59
1227000000,  56.21,   9.73
1228000000,  56.20,   9.74
1229000000,  56.21,   9.83
1230000000,  56.22,   9.77
1231000000,  56.22,   9.81
1232000000,  56.22,   9.90
1233000000,  56.23,   9.79
1234000000,  56.22,   9.85
1235000000,  56.23,   9.83
1236000000,  56.24,  10.00
1237000000,  56.25,   9.91
1238000000,  56.25,   9.84
1239000000,  56.27,   9.85
1240000000,  56.28,   9.81
1241000000,  56.30,   9.87
1242000000,  56.31,  10.06
1243000000,  56.33,   9.97
1244000000,  56.34,   9.95
1245000000,  56.36,  10.05
1246000000,  56.38,  10.07
1247000000,  56.40,   9.90
1248000000,  56.42,   9.83
1249000000,  56.44,  10.02
1250000000,  56.44,   9.95
1251000000,  56.45,   9.92
1252000000,  56.46,   9.85
1253000000,  56.48,   9.84
1254000000,  56.48,   9.87
1255000000,  56.50,   9.71
1256000000,  56.51,   9.89
1257000000,  56.51,   9.82
1258000000,  56.52,   9.69
1259000000,  56.53,   9.76
1260000000,  56.54,   9.88
1261000000,  56.56,   9.68
1262000000,  56.56,   9.82
1263000000,  56.57,   9.59
1264000000,  56.59,   9.49
1265000000,  56.61,   9.56
1266000000,  56.62,   9.72
1267000000,  56.62,   9.56
1268000000,  56.64,   9.52
1269000000,  56.66,   9.57
1270000000,  56.66,   9.50
1271000000,  56.68,   9.53
1272000000,  56.69,   9.57
1273000000,  56.69,   9.66
1274000000,  56.71,   9.58
1275000000,  56.73,   9.49
1276000000,  56.73,   9.50
1277000000,  56.73,   9.38
1278000000,  56.75,   9.55
1279000000,  56.75,   9.28
1280000000,  56.76,   9.37
1281000000,  56.77,   9.37
1282000000,  56.78,   9.34
1283000000,  56.78,   9.28
1284000000,  56.78,   9.23
1285000000,  56.78,   9.08
1286000000,  56.79,   9.34
1287000000,  56.80,   9.06
1288000000,  56.81,   9.01
1289000000,  56.81,   9.06
1290000000,  56.81,   9.10
1291000000,  56.82,   8.96
1292000000,  56.82,   9.06
1293000000,  56.81,   9.04
1294000000,  56.83,   8.83
1295000000,  56.83,   8.66
1296000000,  56.82,   8.82
1297000000,  56.82,   8.69
1298000000,  56.82,   8.66
1299000000,  56.81,   8.69
1300000000,  56.82,   8.75
1301000000,  56.81,   8.65
1302000000,  56.81,   8.59
1303000000,  56.80,   8.58
1304000000,  56.80,   8.63
1305000000,  56.80,   8.72
1306000000,  56.77,   8.65
1307000000,  56.78,   8.57
1308000000,  56.77,   8.74
1309000000,  56.75,   8.68
1310000000,  56.76,   8.50
1311000000,  56.74,   8.45
1312000000,  56.75,   8.70
1313000000,  56.74,   8.58
1314000000,  56.73,   8.62
1315000000,  56.72,   8.41
1316000000,  56.72,   8.29
1317000000,  56.71,   8.44
1318000000,  56.70,   8.43
1319000000,  56.70,   8.55
1320000000,  56.69,   8.37
1321000000,  56.68,   8.63
1322000000,  56.66,   8.55
1323000000,  56.66,   8.44
1324000000,  56.65,   8.48
1325000000,  56.63,   8.51
1326000000,  56.63,   8.56
1327000000,  56.61,   8.66
1328000000,  56.61,   8.63
1329000000,  56.59,   8.74
1330000000,  56.57,   8.64
1331000000,  56.57,   8.73
1332000000,  56.56,   8.76
1333000000,  56.55,   8.73
1334000000,  56.54,   8.66
1335000000,  56.53,   8.76
1336000000,  56.53,   8.74
1337000000,  56.52,   8.82
1338000000,  56.51,   8.84
1339000000,  56.51,   8.87
1340000000,  56.50,   8.81
1341000000,  56.50,   8.80
1342000000,  56.50,   8.94
1343000000,  56.49,   8.79
1344000000,  56.48,   8.76
1345000000,  56.48,   8.98
1346000000,  56.48,   8.89
1347000000,  56.47,   8.98
1348000000,  56.46,   8.92
1349000000,  56.47,   8.89
1350000000,  56.46,   8.96
1351000000,  56.46,   8.94
1352000000,  56.45,   9.01
1353000000,  56.45,   9.10
1354000000,  56.45,   9.12
1355000000,  56.44,   9.26
1356000000,  56.44,   9.23
1357000000,  56.45,   9.14
1358000000,  56.43,   9.25
1359000000,  56.43,   9.29
1360000000,  56.44,   9.28
1361000000,  56.45,   9.19
1362000000,  56.44,   9.18
1363000000,  56.45,   9.29
1364000000,  56.45,   9.34
1365000000,  56.45,   9.24
1366000000,  56.46,   9.29
1367000000,  56.46,   9.38
1368000000,  56.46,   9.37
1369000000,  56.46,   9.40
1370000000,  56.47,   9.33
1371000000,  56.47,   9.34
1372000000,  56.47,   9.48
1373000000,  56.47,   9.35
1374000000,  56.47,   9.28
1375000000,  56.48,   9.44
1376000000,  56.47,   9.52
