#RxL_SN4006_calculated_noise_V_chan
# f (Hz),T_e_cal (K)
 900000000,  21.11
 901000000,  20.96
 902000000,  20.89
 903000000,  20.93
 904000000,  20.90
 905000000,  20.96
 906000000,  20.95
 907000000,  20.89
 908000000,  20.83
 909000000,  20.80
 910000000,  20.78
 911000000,  20.72
 912000000,  20.76
 913000000,  20.81
 914000000,  20.76
 915000000,  20.65
 916000000,  20.75
 917000000,  20.68
 918000000,  20.60
 919000000,  20.59
 920000000,  20.56
 921000000,  20.66
 922000000,  20.80
 923000000,  20.91
 924000000,  21.06
 925000000,  20.99
 926000000,  20.74
 927000000,  20.79
 928000000,  20.94
 929000000,  21.00
 930000000,  21.04
 931000000,  21.03
 932000000,  20.99
 933000000,  21.10
 934000000,  21.22
 935000000,  21.20
 936000000,  21.23
 937000000,  21.39
 938000000,  21.50
 939000000,  21.45
 940000000,  21.37
 941000000,  21.48
 942000000,  21.57
 943000000,  21.56
 944000000,  21.61
 945000000,  21.62
 946000000,  21.44
 947000000,  21.56
 948000000,  21.68
 949000000,  21.65
 950000000,  21.55
 951000000,  21.47
 952000000,  21.65
 953000000,  21.63
 954000000,  21.44
 955000000,  21.37
 956000000,  21.30
 957000000,  21.39
 958000000,  21.41
 959000000,  21.32
 960000000,  21.32
 961000000,  21.22
 962000000,  21.17
 963000000,  21.22
 964000000,  21.10
 965000000,  21.14
 966000000,  21.16
 967000000,  21.00
 968000000,  20.94
 969000000,  20.96
 970000000,  21.02
 971000000,  20.89
 972000000,  20.79
 973000000,  20.84
 974000000,  20.82
 975000000,  20.69
 976000000,  20.62
 977000000,  20.60
 978000000,  20.67
 979000000,  20.70
 980000000,  20.50
 981000000,  20.48
 982000000,  20.57
 983000000,  20.51
 984000000,  20.62
 985000000,  20.57
 986000000,  20.59
 987000000,  20.42
 988000000,  20.46
 989000000,  20.42
 990000000,  20.35
 991000000,  20.35
 992000000,  20.38
 993000000,  20.50
 994000000,  20.51
 995000000,  20.42
 996000000,  20.50
 997000000,  20.50
 998000000,  20.50
 999000000,  20.63
1000000000,  20.53
1001000000,  20.37
1002000000,  20.41
1003000000,  20.51
1004000000,  20.47
1005000000,  20.44
1006000000,  20.65
1007000000,  20.47
1008000000,  20.47
1009000000,  20.60
1010000000,  20.60
1011000000,  20.51
1012000000,  20.40
1013000000,  20.46
1014000000,  20.59
1015000000,  20.52
1016000000,  20.52
1017000000,  20.71
1018000000,  20.69
1019000000,  20.79
1020000000,  20.75
1021000000,  20.81
1022000000,  20.70
1023000000,  20.73
1024000000,  20.74
1025000000,  20.75
1026000000,  20.65
1027000000,  20.87
1028000000,  20.90
1029000000,  20.70
1030000000,  20.84
1031000000,  20.90
1032000000,  20.93
1033000000,  20.96
1034000000,  20.96
1035000000,  20.82
1036000000,  20.90
1037000000,  21.05
1038000000,  20.90
1039000000,  20.79
1040000000,  20.81
1041000000,  21.04
1042000000,  20.99
1043000000,  20.87
1044000000,  20.92
1045000000,  21.03
1046000000,  20.89
1047000000,  20.90
1048000000,  20.96
1049000000,  20.95
1050000000,  20.83
1051000000,  20.81
1052000000,  20.90
1053000000,  20.85
1054000000,  20.72
1055000000,  20.86
1056000000,  20.81
1057000000,  20.83
1058000000,  20.80
1059000000,  20.68
1060000000,  20.65
1061000000,  20.69
1062000000,  20.75
1063000000,  20.73
1064000000,  20.80
1065000000,  20.58
1066000000,  20.67
1067000000,  20.71
1068000000,  20.65
1069000000,  20.64
1070000000,  20.75
1071000000,  20.67
1072000000,  20.66
1073000000,  20.64
1074000000,  20.52
1075000000,  20.54
1076000000,  20.62
1077000000,  20.55
1078000000,  20.47
1079000000,  20.37
1080000000,  20.49
1081000000,  20.48
1082000000,  20.55
1083000000,  20.50
1084000000,  20.57
1085000000,  20.57
1086000000,  20.56
1087000000,  20.65
1088000000,  20.58
1089000000,  20.65
1090000000,  20.43
1091000000,  20.47
1092000000,  20.64
1093000000,  20.68
1094000000,  20.77
1095000000,  20.61
1096000000,  20.72
1097000000,  20.55
1098000000,  20.48
1099000000,  20.58
1100000000,  20.82
1101000000,  20.84
1102000000,  20.62
1103000000,  20.77
1104000000,  20.75
1105000000,  20.88
1106000000,  20.90
1107000000,  20.89
1108000000,  20.86
1109000000,  20.96
1110000000,  20.92
1111000000,  21.06
1112000000,  21.08
1113000000,  20.92
1114000000,  21.09
1115000000,  21.22
1116000000,  21.08
1117000000,  21.19
1118000000,  21.07
1119000000,  21.06
1120000000,  21.20
1121000000,  21.27
1122000000,  21.35
1123000000,  21.40
1124000000,  21.51
1125000000,  21.44
1126000000,  21.47
1127000000,  21.34
1128000000,  21.45
1129000000,  21.40
1130000000,  21.34
1131000000,  21.42
1132000000,  21.50
1133000000,  21.30
1134000000,  21.54
1135000000,  21.59
1136000000,  21.38
1137000000,  21.50
1138000000,  21.55
1139000000,  21.44
1140000000,  21.49
1141000000,  21.36
1142000000,  21.29
1143000000,  21.41
1144000000,  21.46
1145000000,  21.35
1146000000,  21.40
1147000000,  21.05
1148000000,  21.06
1149000000,  21.18
1150000000,  21.24
1151000000,  21.32
1152000000,  21.04
1153000000,  21.03
1154000000,  21.03
1155000000,  21.08
1156000000,  21.03
1157000000,  20.85
1158000000,  20.88
1159000000,  20.90
1160000000,  20.70
1161000000,  20.81
1162000000,  20.69
1163000000,  20.73
1164000000,  20.72
1165000000,  20.46
1166000000,  20.62
1167000000,  20.50
1168000000,  20.48
1169000000,  20.41
1170000000,  20.32
1171000000,  20.27
1172000000,  20.26
1173000000,  20.16
1174000000,  19.97
1175000000,  19.91
1176000000,  20.09
1177000000,  20.00
1178000000,  19.82
1179000000,  19.91
1180000000,  19.83
1181000000,  19.65
1182000000,  19.53
1183000000,  19.53
1184000000,  19.56
1185000000,  19.50
1186000000,  19.37
1187000000,  19.43
1188000000,  19.34
1189000000,  19.16
1190000000,  19.20
1191000000,  19.32
1192000000,  19.42
1193000000,  19.39
1194000000,  19.19
1195000000,  19.04
1196000000,  19.14
1197000000,  19.19
1198000000,  19.13
1199000000,  19.16
1200000000,  19.02
1201000000,  19.07
1202000000,  18.97
1203000000,  19.12
1204000000,  19.30
1205000000,  19.23
1206000000,  19.33
1207000000,  19.23
1208000000,  19.11
1209000000,  19.21
1210000000,  19.22
1211000000,  19.30
1212000000,  19.47
1213000000,  19.34
1214000000,  19.33
1215000000,  19.38
1216000000,  19.17
1217000000,  19.33
1218000000,  19.42
1219000000,  19.62
1220000000,  19.74
1221000000,  19.63
1222000000,  19.65
1223000000,  19.81
1224000000,  19.88
1225000000,  19.88
1226000000,  19.95
1227000000,  20.07
1228000000,  20.28
1229000000,  19.97
1230000000,  20.15
1231000000,  20.25
1232000000,  20.26
1233000000,  20.53
1234000000,  20.55
1235000000,  20.37
1236000000,  20.67
1237000000,  20.68
1238000000,  20.82
1239000000,  21.04
1240000000,  20.95
1241000000,  21.00
1242000000,  21.05
1243000000,  21.10
1244000000,  21.11
1245000000,  21.17
1246000000,  21.46
1247000000,  21.51
1248000000,  21.64
1249000000,  21.44
1250000000,  21.42
1251000000,  21.72
1252000000,  21.90
1253000000,  21.95
1254000000,  22.18
1255000000,  22.02
1256000000,  22.32
1257000000,  22.43
1258000000,  22.48
1259000000,  22.42
1260000000,  22.33
1261000000,  22.47
1262000000,  22.44
1263000000,  22.91
