% f (Hz),G_rec (dB),T_e_rec (K)
 900000000,  57.76,   8.52
 901000000,  57.75,   8.59
 902000000,  57.72,   8.56
 903000000,  57.71,   8.44
 904000000,  57.67,   8.40
 905000000,  57.66,   8.37
 906000000,  57.64,   8.30
 907000000,  57.62,   8.25
 908000000,  57.60,   8.21
 909000000,  57.59,   8.30
 910000000,  57.57,   8.23
 911000000,  57.55,   8.12
 912000000,  57.55,   8.06
 913000000,  57.53,   7.96
 914000000,  57.52,   8.08
 915000000,  57.51,   8.05
 916000000,  57.50,   7.96
 917000000,  57.50,   8.02
 918000000,  57.49,   8.01
 919000000,  57.49,   7.93
 920000000,  57.49,   7.90
 921000000,  57.48,   7.99
 922000000,  57.48,   7.98
 923000000,  57.47,   7.81
 924000000,  57.46,   7.84
 925000000,  57.48,   7.90
 926000000,  57.46,   7.92
 927000000,  57.47,   7.83
 928000000,  57.47,   7.83
 929000000,  57.48,   7.77
 930000000,  57.47,   7.78
 931000000,  57.47,   7.85
 932000000,  57.48,   7.78
 933000000,  57.47,   7.77
 934000000,  57.47,   7.83
 935000000,  57.48,   7.88
 936000000,  57.48,   7.81
 937000000,  57.48,   7.75
 938000000,  57.49,   7.77
 939000000,  57.49,   7.76
 940000000,  57.48,   7.74
 941000000,  57.48,   7.80
 942000000,  57.49,   7.80
 943000000,  57.49,   7.70
 944000000,  57.48,   7.72
 945000000,  57.49,   7.80
 946000000,  57.48,   7.86
 947000000,  57.47,   7.79
 948000000,  57.47,   7.69
 949000000,  57.48,   7.68
 950000000,  57.47,   7.75
 951000000,  57.47,   7.71
 952000000,  57.47,   7.65
 953000000,  57.46,   7.66
 954000000,  57.45,   7.59
 955000000,  57.44,   7.57
 956000000,  57.44,   7.70
 957000000,  57.43,   7.73
 958000000,  57.43,   7.52
 959000000,  57.42,   7.61
 960000000,  57.40,   7.70
 961000000,  57.40,   7.74
 962000000,  57.39,   7.66
 963000000,  57.38,   7.62
 964000000,  57.37,   7.57
 965000000,  57.36,   7.48
 966000000,  57.34,   7.50
 967000000,  57.32,   7.40
 968000000,  57.32,   7.37
 969000000,  57.30,   7.38
 970000000,  57.29,   7.42
 971000000,  57.27,   7.49
 972000000,  57.26,   7.50
 973000000,  57.25,   7.41
 974000000,  57.22,   7.34
 975000000,  57.22,   7.37
 976000000,  57.20,   7.43
 977000000,  57.18,   7.38
 978000000,  57.18,   7.35
 979000000,  57.16,   7.36
 980000000,  57.15,   7.38
 981000000,  57.13,   7.35
 982000000,  57.12,   7.27
 983000000,  57.11,   7.25
 984000000,  57.09,   7.28
 985000000,  57.08,   7.26
 986000000,  57.07,   7.40
 987000000,  57.06,   7.35
 988000000,  57.05,   7.23
 989000000,  57.04,   7.27
 990000000,  57.02,   7.42
 991000000,  57.02,   7.43
 992000000,  57.01,   7.37
 993000000,  57.00,   7.29
 994000000,  56.99,   7.35
 995000000,  56.98,   7.35
 996000000,  56.98,   7.38
 997000000,  56.98,   7.34
 998000000,  56.98,   7.27
 999000000,  56.98,   7.32
1000000000,  56.97,   7.47
1001000000,  56.97,   7.44
1002000000,  56.97,   7.32
1003000000,  56.96,   7.45
1004000000,  56.96,   7.51
1005000000,  56.96,   7.52
1006000000,  56.97,   7.53
1007000000,  56.96,   7.59
1008000000,  56.98,   7.61
1009000000,  56.97,   7.50
1010000000,  56.96,   7.47
1011000000,  56.98,   7.48
1012000000,  56.97,   7.59
1013000000,  56.98,   7.62
1014000000,  56.99,   7.53
1015000000,  56.98,   7.61
1016000000,  56.99,   7.63
1017000000,  56.99,   7.62
1018000000,  57.01,   7.69
1019000000,  57.00,   7.73
1020000000,  57.01,   7.67
1021000000,  57.02,   7.60
1022000000,  57.02,   7.57
1023000000,  57.03,   7.61
1024000000,  57.04,   7.65
1025000000,  57.05,   7.63
1026000000,  57.06,   7.58
1027000000,  57.06,   7.70
1028000000,  57.06,   7.72
1029000000,  57.07,   7.63
1030000000,  57.09,   7.64
1031000000,  57.09,   7.60
1032000000,  57.10,   7.64
1033000000,  57.10,   7.71
1034000000,  57.10,   7.77
1035000000,  57.12,   7.80
1036000000,  57.12,   7.80
1037000000,  57.12,   7.75
1038000000,  57.14,   7.74
1039000000,  57.13,   7.74
1040000000,  57.14,   7.74
1041000000,  57.15,   7.62
1042000000,  57.15,   7.57
1043000000,  57.15,   7.72
1044000000,  57.16,   7.72
1045000000,  57.16,   7.76
1046000000,  57.16,   7.69
1047000000,  57.17,   7.75
1048000000,  57.17,   7.62
1049000000,  57.16,   7.61
1050000000,  57.16,   7.55
1051000000,  57.16,   7.57
1052000000,  57.16,   7.59
1053000000,  57.17,   7.67
1054000000,  57.16,   7.66
1055000000,  57.17,   7.65
1056000000,  57.16,   7.64
1057000000,  57.17,   7.67
1058000000,  57.18,   7.73
1059000000,  57.17,   7.67
1060000000,  57.16,   7.57
1061000000,  57.16,   7.58
1062000000,  57.16,   7.52
1063000000,  57.16,   7.49
1064000000,  57.16,   7.55
1065000000,  57.16,   7.59
1066000000,  57.15,   7.59
1067000000,  57.16,   7.56
1068000000,  57.16,   7.59
1069000000,  57.15,   7.57
1070000000,  57.15,   7.48
1071000000,  57.14,   7.55
1072000000,  57.13,   7.62
1073000000,  57.13,   7.54
1074000000,  57.12,   7.51
1075000000,  57.12,   7.50
1076000000,  57.11,   7.44
1077000000,  57.11,   7.52
1078000000,  57.11,   7.61
1079000000,  57.11,   7.59
1080000000,  57.09,   7.45
1081000000,  57.09,   7.40
1082000000,  57.08,   7.37
1083000000,  57.09,   7.57
1084000000,  57.08,   7.53
1085000000,  57.07,   7.61
1086000000,  57.07,   7.58
1087000000,  57.06,   7.59
1088000000,  57.07,   7.60
1089000000,  57.07,   7.60
1090000000,  57.07,   7.60
1091000000,  57.07,   7.50
1092000000,  57.07,   7.60
1093000000,  57.06,   7.64
1094000000,  57.07,   7.61
1095000000,  57.06,   7.64
1096000000,  57.07,   7.51
1097000000,  57.08,   7.46
1098000000,  57.07,   7.56
1099000000,  57.07,   7.48
1100000000,  57.07,   7.66
1101000000,  57.06,   7.65
1102000000,  57.07,   7.63
1103000000,  57.07,   7.70
1104000000,  57.08,   7.66
1105000000,  57.07,   7.71
1106000000,  57.07,   7.69
1107000000,  57.07,   7.71
1108000000,  57.08,   7.70
1109000000,  57.08,   7.76
1110000000,  57.08,   7.72
1111000000,  57.09,   7.66
1112000000,  57.09,   7.65
1113000000,  57.10,   7.78
1114000000,  57.09,   7.80
1115000000,  57.11,   7.68
1116000000,  57.13,   7.74
1117000000,  57.14,   7.78
1118000000,  57.14,   7.80
1119000000,  57.15,   7.77
1120000000,  57.17,   7.79
1121000000,  57.17,   7.77
1122000000,  57.19,   7.77
1123000000,  57.20,   7.99
1124000000,  57.20,   7.94
1125000000,  57.23,   7.87
1126000000,  57.24,   7.82
1127000000,  57.25,   7.76
1128000000,  57.27,   7.87
1129000000,  57.28,   7.84
1130000000,  57.29,   7.85
1131000000,  57.30,   7.83
1132000000,  57.31,   7.87
1133000000,  57.33,   7.90
1134000000,  57.34,   7.95
1135000000,  57.36,   7.90
1136000000,  57.37,   7.86
1137000000,  57.38,   7.91
1138000000,  57.39,   7.92
1139000000,  57.39,   7.83
1140000000,  57.41,   7.79
1141000000,  57.42,   7.81
1142000000,  57.43,   7.84
1143000000,  57.46,   7.85
