#ZA [deg]	H @ _ MHz	V @ _ MHz	H @ _ MHz	V @ _ MHz	H @ _ MHz	V @ _ MHz	H @ _ MHz	V @ _ MHz	H @ _ MHz	V @ _ MHz
   0	580	580	700	700	840	840	900	900	1015	1015
0	5.4624	6.1241	5.2004	5.8018	5.3996	5.6063	5.2095	5.5126	2.9415	3.2441
1	5.4350	6.1013	5.1580	5.7548	5.3493	5.5730	5.1539	5.4762	2.9114	3.2097
2	5.4094	6.0798	5.1181	5.7104	5.3024	5.5418	5.1016	5.4427	2.8828	3.1774
3	5.3852	6.0591	5.0803	5.6680	5.2587	5.5127	5.0520	5.4116	2.8556	3.1467
4	5.3620	6.0391	5.0445	5.6273	5.2180	5.4853	5.0048	5.3823	2.8296	3.1176
5	5.3398	6.0200	5.0105	5.5880	5.1800	5.4593	4.9599	5.3548	2.8047	3.0899
6	5.3182	6.0018	4.9782	5.5502	5.1444	5.4342	4.9170	5.3291	2.7808	3.0632
7	5.2971	5.9843	4.9474	5.5141	5.1111	5.4102	4.8760	5.3049	2.7576	3.0373
8	5.2763	5.9674	4.9180	5.4790	5.0797	5.3872	4.8366	5.2815	2.7351	3.0123
9	5.2557	5.9510	4.8899	5.4448	5.0500	5.3647	4.7988	5.2589	2.7131	2.9878
10	5.2353	5.9353	4.8628	5.4115	5.0215	5.3424	4.7623	5.2368	2.6916	2.9638
11	5.2151	5.9203	4.8368	5.3792	4.9940	5.3204	4.7270	5.2151	2.6704	2.9401
12	5.1950	5.9061	4.8117	5.3479	4.9674	5.2983	4.6929	5.1939	2.6494	2.9167
13	5.1751	5.8923	4.7875	5.3174	4.9414	5.2761	4.6597	5.1728	2.6287	2.8935
14	5.1553	5.8795	4.7639	5.2878	4.9160	5.2544	4.6272	5.1517	2.6082	2.8703
15	5.1356	5.8678	4.7410	5.2592	4.8910	5.2326	4.5955	5.1306	2.5879	2.8471
16	5.1160	5.8567	4.7185	5.2315	4.8663	5.2109	4.5645	5.1092	2.5678	2.8240
17	5.0965	5.8461	4.6964	5.2052	4.8420	5.1893	4.5341	5.0881	2.5479	2.8010
18	5.0772	5.8359	4.6744	5.1799	4.8178	5.1677	4.5044	5.0668	2.5284	2.7781
19	5.0582	5.8261	4.6525	5.1555	4.7938	5.1466	4.4753	5.0455	2.5093	2.7554
20	5.0395	5.8167	4.6307	5.1322	4.7700	5.1256	4.4467	5.0243	2.4906	2.7330
21	5.0211	5.8078	4.6090	5.1097	4.7463	5.1050	4.4185	5.0032	2.4725	2.7111
22	5.0033	5.7995	4.5872	5.0884	4.7228	5.0847	4.3905	4.9824	2.4551	2.6896
23	4.9859	5.7917	4.5652	5.0681	4.6995	5.0649	4.3624	4.9617	2.4385	2.6685
24	4.9691	5.7841	4.5431	5.0487	4.6766	5.0457	4.3342	4.9413	2.4226	2.6478
25	4.9530	5.7767	4.5207	5.0303	4.6540	5.0273	4.3057	4.9210	2.4074	2.6276
26	4.9376	5.7692	4.4979	5.0126	4.6317	5.0095	4.2769	4.9010	2.3927	2.6077
27	4.9227	5.7616	4.4745	4.9957	4.6100	4.9923	4.2482	4.8815	2.3787	2.5884
