#RxL_SN4001_calculated_noise_H_chan
# f (Hz),   T_e_cal (K)
 900000000,  22.41
 901000000,  22.18
 902000000,  22.05
 903000000,  22.08
 904000000,  22.05
 905000000,  22.02
 906000000,  22.12
 907000000,  22.14
 908000000,  22.05
 909000000,  21.89
 910000000,  21.95
 911000000,  22.07
 912000000,  22.12
 913000000,  22.10
 914000000,  22.07
 915000000,  22.00
 916000000,  21.91
 917000000,  21.99
 918000000,  21.94
 919000000,  22.00
 920000000,  22.21
 921000000,  22.23
 922000000,  22.24
 923000000,  22.16
 924000000,  22.05
 925000000,  22.16
 926000000,  22.22
 927000000,  22.25
 928000000,  22.30
 929000000,  22.26
 930000000,  22.34
 931000000,  22.44
 932000000,  22.43
 933000000,  22.48
 934000000,  22.54
 935000000,  22.55
 936000000,  22.43
 937000000,  22.54
 938000000,  22.78
 939000000,  22.86
 940000000,  22.83
 941000000,  22.74
 942000000,  22.74
 943000000,  22.76
 944000000,  22.86
 945000000,  22.93
 946000000,  22.96
 947000000,  23.00
 948000000,  23.10
 949000000,  23.06
 950000000,  22.98
 951000000,  23.01
 952000000,  23.07
 953000000,  23.12
 954000000,  23.12
 955000000,  23.23
 956000000,  23.33
 957000000,  23.19
 958000000,  23.04
 959000000,  23.13
 960000000,  23.30
 961000000,  23.19
 962000000,  23.10
 963000000,  23.10
 964000000,  23.10
 965000000,  23.20
 966000000,  23.15
 967000000,  23.14
 968000000,  23.10
 969000000,  23.07
 970000000,  23.02
 971000000,  22.85
 972000000,  22.89
 973000000,  22.84
 974000000,  22.76
 975000000,  22.82
 976000000,  22.77
 977000000,  22.83
 978000000,  22.76
 979000000,  22.64
 980000000,  22.45
 981000000,  22.34
 982000000,  22.31
 983000000,  22.34
 984000000,  22.41
 985000000,  22.50
 986000000,  22.58
 987000000,  22.31
 988000000,  22.19
 989000000,  22.29
 990000000,  22.29
 991000000,  22.19
 992000000,  22.30
 993000000,  22.17
 994000000,  22.20
 995000000,  22.17
 996000000,  22.17
 997000000,  22.20
 998000000,  22.08
 999000000,  22.14
1000000000,  22.29
1001000000,  22.11
1002000000,  22.01
1003000000,  21.95
1004000000,  22.04
1005000000,  22.06
1006000000,  21.99
1007000000,  22.09
1008000000,  22.10
1009000000,  22.05
1010000000,  22.19
1011000000,  22.07
1012000000,  21.98
1013000000,  22.04
1014000000,  21.99
1015000000,  21.99
1016000000,  22.16
1017000000,  22.20
1018000000,  22.19
1019000000,  22.26
1020000000,  22.27
1021000000,  22.29
1022000000,  22.28
1023000000,  22.21
1024000000,  22.27
1025000000,  22.32
1026000000,  22.42
1027000000,  22.36
1028000000,  22.24
1029000000,  22.27
1030000000,  22.23
1031000000,  22.22
1032000000,  22.28
1033000000,  22.31
1034000000,  22.24
1035000000,  22.33
1036000000,  22.53
1037000000,  22.46
1038000000,  22.52
1039000000,  22.65
1040000000,  22.59
1041000000,  22.58
1042000000,  22.51
1043000000,  22.39
1044000000,  22.45
1045000000,  22.43
1046000000,  22.30
1047000000,  22.37
1048000000,  22.39
1049000000,  22.31
1050000000,  22.40
1051000000,  22.31
1052000000,  22.31
1053000000,  22.46
1054000000,  22.50
1055000000,  22.54
1056000000,  22.39
1057000000,  22.30
1058000000,  22.30
1059000000,  22.34
1060000000,  22.30
1061000000,  22.37
1062000000,  22.15
1063000000,  22.20
1064000000,  22.11
1065000000,  22.14
1066000000,  22.17
1067000000,  22.13
1068000000,  22.23
1069000000,  22.15
1070000000,  21.99
1071000000,  21.95
1072000000,  21.98
1073000000,  21.86
1074000000,  21.91
1075000000,  21.88
1076000000,  21.84
1077000000,  21.70
1078000000,  21.65
1079000000,  21.69
1080000000,  21.79
1081000000,  21.72
1082000000,  21.59
1083000000,  21.46
1084000000,  21.46
1085000000,  21.46
1086000000,  21.45
1087000000,  21.60
1088000000,  21.43
1089000000,  21.48
1090000000,  21.46
1091000000,  21.44
1092000000,  21.40
1093000000,  21.31
1094000000,  21.55
1095000000,  21.52
1096000000,  21.35
1097000000,  21.41
1098000000,  21.40
1099000000,  21.47
1100000000,  21.58
1101000000,  21.40
1102000000,  21.32
1103000000,  21.46
1104000000,  21.43
1105000000,  21.43
1106000000,  21.44
1107000000,  21.61
1108000000,  21.58
1109000000,  21.52
1110000000,  21.45
1111000000,  21.46
1112000000,  21.60
1113000000,  21.55
1114000000,  21.57
1115000000,  21.59
1116000000,  21.63
1117000000,  21.56
1118000000,  21.66
1119000000,  21.71
1120000000,  21.78
1121000000,  21.86
1122000000,  21.65
1123000000,  21.78
1124000000,  21.77
1125000000,  21.93
1126000000,  21.87
1127000000,  21.78
1128000000,  21.84
1129000000,  21.93
1130000000,  21.98
1131000000,  22.05
1132000000,  22.04
1133000000,  22.33
1134000000,  22.13
1135000000,  22.12
1136000000,  22.24
1137000000,  22.30
1138000000,  22.44
1139000000,  22.38
1140000000,  22.36
1141000000,  22.36
1142000000,  22.30
1143000000,  22.08
1144000000,  22.21
1145000000,  22.42
1146000000,  22.59
1147000000,  22.50
1148000000,  22.61
1149000000,  22.57
1150000000,  22.62
1151000000,  22.50
1152000000,  22.59
1153000000,  22.29
1154000000,  22.56
1155000000,  22.40
1156000000,  22.57
1157000000,  22.56
1158000000,  22.30
1159000000,  22.31
1160000000,  22.23
1161000000,  22.43
1162000000,  22.41
1163000000,  22.42
1164000000,  22.38
1165000000,  22.40
1166000000,  22.42
1167000000,  22.39
1168000000,  22.29
1169000000,  22.31
1170000000,  22.28
1171000000,  22.30
1172000000,  22.17
1173000000,  22.01
1174000000,  22.04
1175000000,  21.99
1176000000,  21.92
1177000000,  22.02
1178000000,  21.93
1179000000,  21.89
1180000000,  21.87
1181000000,  21.64
1182000000,  21.81
1183000000,  21.72
1184000000,  21.67
1185000000,  21.57
1186000000,  21.56
1187000000,  21.37
1188000000,  21.19
1189000000,  21.14
1190000000,  21.24
1191000000,  21.38
1192000000,  21.19
1193000000,  21.09
1194000000,  21.01
1195000000,  21.08
1196000000,  20.96
1197000000,  20.84
1198000000,  20.71
1199000000,  20.94
1200000000,  20.80
1201000000,  20.64
1202000000,  20.55
1203000000,  20.86
1204000000,  20.63
1205000000,  20.57
1206000000,  20.33
1207000000,  20.52
1208000000,  20.41
1209000000,  20.37
1210000000,  20.06
1211000000,  20.20
1212000000,  20.36
1213000000,  20.39
1214000000,  20.02
1215000000,  20.00
1216000000,  20.38
1217000000,  20.06
1218000000,  20.06
1219000000,  20.00
1220000000,  20.15
1221000000,  20.27
1222000000,  20.13
1223000000,  20.21
1224000000,  20.24
1225000000,  19.91
1226000000,  20.09
1227000000,  20.21
1228000000,  20.28
1229000000,  20.24
1230000000,  20.33
1231000000,  20.33
1232000000,  20.45
1233000000,  20.28
1234000000,  20.42
1235000000,  20.56
1236000000,  20.48
1237000000,  20.60
1238000000,  20.40
1239000000,  20.48
1240000000,  20.72
1241000000,  20.68
1242000000,  20.70
1243000000,  20.85
1244000000,  20.76
1245000000,  20.81
1246000000,  21.02
1247000000,  21.22
1248000000,  21.17
1249000000,  21.21
1250000000,  21.12
1251000000,  21.28
1252000000,  21.40
1253000000,  21.38
1254000000,  21.57
1255000000,  21.32
1256000000,  21.70
1257000000,  21.57
1258000000,  21.78
1259000000,  21.77
1260000000,  21.97
1261000000,  21.78
1262000000,  22.04
1263000000,  22.27
1264000000,  22.33
1265000000,  22.47
1266000000,  22.39
1267000000,  22.31
1268000000,  22.38
1269000000,  22.76
1270000000,  22.78
1271000000,  22.76
1272000000,  22.85
1273000000,  22.99
1274000000,  23.04
1275000000,  23.28
1276000000,  23.28
1277000000,  23.51
1278000000,  23.42
1279000000,  23.42
1280000000,  23.53
1281000000,  23.63
1282000000,  23.77
1283000000,  23.68
1284000000,  23.67
1285000000,  23.76
1286000000,  23.77
1287000000,  24.09
1288000000,  24.03
1289000000,  24.22
1290000000,  23.88
1291000000,  24.14
1292000000,  24.27
1293000000,  24.33
1294000000,  24.25
1295000000,  24.37
1296000000,  24.38
1297000000,  24.41
1298000000,  24.43
1299000000,  24.40
1300000000,  24.46
1301000000,  24.62
1302000000,  24.77
1303000000,  24.63
1304000000,  24.65
1305000000,  24.59
1306000000,  24.53
1307000000,  24.36
1308000000,  24.70
1309000000,  24.34
1310000000,  24.67
1311000000,  24.35
1312000000,  24.60
1313000000,  24.47
1314000000,  24.46
1315000000,  24.45
1316000000,  24.44
1317000000,  24.27
1318000000,  24.44
1319000000,  24.38
1320000000,  24.28
1321000000,  24.37
1322000000,  24.05
1323000000,  24.20
1324000000,  24.15
1325000000,  24.25
1326000000,  24.02
1327000000,  24.01
1328000000,  23.99
1329000000,  24.14
1330000000,  24.21
1331000000,  23.92
1332000000,  23.80
1333000000,  23.98
1334000000,  23.83
1335000000,  23.81
1336000000,  23.64
