#RxL_SN4001_calculated_noise_V_chan
# f (Hz),   T_e_cal (K) 
 900000000,  23.10
 901000000,  23.04
 902000000,  23.05
 903000000,  23.05
 904000000,  22.93
 905000000,  22.95
 906000000,  23.00
 907000000,  22.97
 908000000,  22.88
 909000000,  22.89
 910000000,  22.98
 911000000,  22.91
 912000000,  22.77
 913000000,  22.73
 914000000,  22.81
 915000000,  22.92
 916000000,  22.93
 917000000,  23.04
 918000000,  22.99
 919000000,  22.95
 920000000,  22.98
 921000000,  22.92
 922000000,  22.89
 923000000,  22.88
 924000000,  23.04
 925000000,  23.14
 926000000,  23.11
 927000000,  23.00
 928000000,  23.03
 929000000,  23.20
 930000000,  23.26
 931000000,  23.23
 932000000,  23.16
 933000000,  23.14
 934000000,  23.18
 935000000,  23.31
 936000000,  23.22
 937000000,  23.32
 938000000,  23.36
 939000000,  23.24
 940000000,  23.38
 941000000,  23.42
 942000000,  23.44
 943000000,  23.37
 944000000,  23.34
 945000000,  23.48
 946000000,  23.59
 947000000,  23.48
 948000000,  23.39
 949000000,  23.43
 950000000,  23.53
 951000000,  23.42
 952000000,  23.30
 953000000,  23.35
 954000000,  23.31
 955000000,  23.21
 956000000,  23.19
 957000000,  23.31
 958000000,  23.21
 959000000,  23.02
 960000000,  23.04
 961000000,  23.10
 962000000,  22.98
 963000000,  23.05
 964000000,  23.09
 965000000,  22.86
 966000000,  22.90
 967000000,  22.76
 968000000,  22.61
 969000000,  22.75
 970000000,  22.69
 971000000,  22.66
 972000000,  22.58
 973000000,  22.45
 974000000,  22.51
 975000000,  22.52
 976000000,  22.45
 977000000,  22.32
 978000000,  22.33
 979000000,  22.21
 980000000,  22.16
 981000000,  22.13
 982000000,  22.08
 983000000,  22.17
 984000000,  22.22
 985000000,  22.12
 986000000,  22.05
 987000000,  22.02
 988000000,  22.09
 989000000,  22.05
 990000000,  22.05
 991000000,  22.12
 992000000,  22.13
 993000000,  22.10
 994000000,  22.00
 995000000,  21.98
 996000000,  22.12
 997000000,  22.18
 998000000,  22.12
 999000000,  22.17
1000000000,  22.04
1001000000,  22.08
1002000000,  22.24
1003000000,  22.35
1004000000,  22.20
1005000000,  22.30
1006000000,  22.39
1007000000,  22.34
1008000000,  22.33
1009000000,  22.39
1010000000,  22.39
1011000000,  22.26
1012000000,  22.26
1013000000,  22.34
1014000000,  22.37
1015000000,  22.34
1016000000,  22.46
1017000000,  22.53
1018000000,  22.56
1019000000,  22.50
1020000000,  22.68
1021000000,  22.69
1022000000,  22.68
1023000000,  22.61
1024000000,  22.54
1025000000,  22.48
1026000000,  22.58
1027000000,  22.68
1028000000,  22.56
1029000000,  22.62
1030000000,  22.76
1031000000,  22.62
1032000000,  22.58
1033000000,  22.75
1034000000,  22.71
1035000000,  22.75
1036000000,  22.77
1037000000,  22.95
1038000000,  23.01
1039000000,  22.95
1040000000,  22.94
1041000000,  22.83
1042000000,  22.84
1043000000,  22.83
1044000000,  22.90
1045000000,  22.95
1046000000,  22.75
1047000000,  22.84
1048000000,  22.75
1049000000,  22.63
1050000000,  22.70
1051000000,  22.70
1052000000,  22.66
1053000000,  22.66
1054000000,  22.65
1055000000,  22.62
1056000000,  22.56
1057000000,  22.55
