#RxL_SN4002_calculated_noise_H_chan
# f (Hz),T_e_cal (K)
 900000000,  23.34
 901000000,  23.24
 902000000,  23.22
 903000000,  23.23
 904000000,  23.13
 905000000,  23.08
 906000000,  23.10
 907000000,  23.10
 908000000,  23.12
 909000000,  23.04
 910000000,  23.09
 911000000,  23.12
 912000000,  23.05
 913000000,  23.02
 914000000,  22.97
 915000000,  23.01
 916000000,  22.97
 917000000,  23.04
 918000000,  23.04
 919000000,  22.96
 920000000,  23.05
 921000000,  22.97
 922000000,  23.06
 923000000,  23.02
 924000000,  23.15
 925000000,  23.26
 926000000,  23.12
 927000000,  23.23
 928000000,  23.27
 929000000,  23.20
 930000000,  23.24
 931000000,  23.42
 932000000,  23.49
 933000000,  23.44
 934000000,  23.43
 935000000,  23.52
 936000000,  23.53
 937000000,  23.60
 938000000,  23.69
 939000000,  23.61
 940000000,  23.65
 941000000,  23.81
 942000000,  23.79
 943000000,  23.70
 944000000,  23.71
 945000000,  23.76
 946000000,  23.77
 947000000,  24.00
 948000000,  24.03
 949000000,  23.95
 950000000,  24.18
 951000000,  24.24
 952000000,  24.17
 953000000,  24.03
 954000000,  23.97
 955000000,  24.04
 956000000,  24.19
 957000000,  24.35
 958000000,  24.12
 959000000,  24.12
 960000000,  24.22
 961000000,  24.15
 962000000,  24.08
 963000000,  24.21
 964000000,  24.21
 965000000,  24.03
 966000000,  24.00
 967000000,  24.03
 968000000,  24.00
 969000000,  23.95
 970000000,  23.93
 971000000,  23.79
 972000000,  23.74
 973000000,  23.83
 974000000,  23.83
 975000000,  23.74
 976000000,  23.69
 977000000,  23.63
 978000000,  23.56
 979000000,  23.46
 980000000,  23.36
 981000000,  23.52
 982000000,  23.50
 983000000,  23.36
 984000000,  23.48
 985000000,  23.43
 986000000,  23.41
 987000000,  23.48
 988000000,  23.40
 989000000,  23.23
 990000000,  23.16
 991000000,  23.18
 992000000,  23.22
 993000000,  23.09
 994000000,  23.22
 995000000,  23.22
 996000000,  23.20
 997000000,  23.16
 998000000,  23.10
 999000000,  23.16
1000000000,  23.24
1001000000,  23.16
1002000000,  23.10
1003000000,  22.99
1004000000,  22.97
1005000000,  22.93
1006000000,  22.90
1007000000,  23.00
1008000000,  23.00
1009000000,  23.13
1010000000,  23.16
1011000000,  23.11
1012000000,  23.07
1013000000,  23.19
1014000000,  23.14
1015000000,  23.17
1016000000,  23.28
1017000000,  23.26
1018000000,  23.12
1019000000,  23.24
1020000000,  23.34
1021000000,  23.31
1022000000,  23.35
1023000000,  23.27
1024000000,  23.21
1025000000,  23.36
1026000000,  23.40
1027000000,  23.33
1028000000,  23.46
1029000000,  23.46
1030000000,  23.52
1031000000,  23.47
1032000000,  23.54
1033000000,  23.56
1034000000,  23.49
1035000000,  23.45
1036000000,  23.44
1037000000,  23.63
1038000000,  23.53
1039000000,  23.68
1040000000,  23.85
1041000000,  23.63
1042000000,  23.55
1043000000,  23.63
1044000000,  23.70
1045000000,  23.52
1046000000,  23.50
1047000000,  23.51
1048000000,  23.49
1049000000,  23.47
1050000000,  23.40
1051000000,  23.42
1052000000,  23.56
1053000000,  23.43
1054000000,  23.40
1055000000,  23.50
1056000000,  23.31
1057000000,  23.23
1058000000,  23.30
1059000000,  23.23
1060000000,  23.28
1061000000,  23.24
1062000000,  23.19
1063000000,  23.05
1064000000,  23.03
1065000000,  23.03
1066000000,  22.92
1067000000,  23.09
1068000000,  23.12
1069000000,  23.02
1070000000,  22.84
1071000000,  22.83
1072000000,  22.70
1073000000,  22.76
1074000000,  22.66
1075000000,  22.65
1076000000,  22.62
1077000000,  22.60
1078000000,  22.64
1079000000,  22.59
1080000000,  22.55
1081000000,  22.59
1082000000,  22.64
1083000000,  22.42
1084000000,  22.61
1085000000,  22.53
1086000000,  22.23
1087000000,  22.24
1088000000,  22.43
1089000000,  22.31
1090000000,  22.22
1091000000,  22.42
1092000000,  22.26
1093000000,  22.24
1094000000,  22.39
1095000000,  22.37
1096000000,  22.36
1097000000,  22.44
1098000000,  22.33
1099000000,  22.30
1100000000,  22.31
1101000000,  22.35
1102000000,  22.62
1103000000,  22.53
1104000000,  22.37
1105000000,  22.42
1106000000,  22.36
1107000000,  22.49
1108000000,  22.58
1109000000,  22.71
1110000000,  22.57
1111000000,  22.60
1112000000,  22.47
1113000000,  22.48
1114000000,  22.69
1115000000,  22.66
1116000000,  22.75
1117000000,  22.70
1118000000,  22.71
1119000000,  22.73
1120000000,  22.95
1121000000,  23.11
1122000000,  22.80
1123000000,  22.89
1124000000,  23.03
1125000000,  23.03
1126000000,  23.07
1127000000,  23.07
1128000000,  23.22
1129000000,  23.24
1130000000,  23.35
1131000000,  23.55
1132000000,  23.52
1133000000,  23.35
1134000000,  23.36
1135000000,  23.50
1136000000,  23.62
1137000000,  23.64
1138000000,  23.71
1139000000,  23.85
1140000000,  23.80
1141000000,  23.65
1142000000,  23.80
1143000000,  24.12
1144000000,  23.87
1145000000,  23.95
1146000000,  23.95
1147000000,  24.10
1148000000,  24.01
1149000000,  23.89
1150000000,  23.82
1151000000,  23.87
1152000000,  24.14
1153000000,  23.91
1154000000,  24.05
1155000000,  24.01
1156000000,  23.94
1157000000,  24.10
1158000000,  24.11
1159000000,  24.04
1160000000,  23.80
1161000000,  23.92
1162000000,  24.04
1163000000,  23.88
1164000000,  23.94
1165000000,  23.79
1166000000,  23.82
1167000000,  23.89
1168000000,  23.89
1169000000,  23.77
1170000000,  23.69
1171000000,  23.71
1172000000,  23.53
1173000000,  23.51
1174000000,  23.47
1175000000,  23.49
1176000000,  23.37
1177000000,  23.29
1178000000,  23.32
1179000000,  23.50
1180000000,  23.13
1181000000,  23.25
1182000000,  23.03
1183000000,  23.17
1184000000,  23.19
1185000000,  23.08
1186000000,  22.86
1187000000,  22.83
1188000000,  22.66
1189000000,  22.60
1190000000,  22.70
1191000000,  22.44
1192000000,  22.49
1193000000,  22.41
1194000000,  22.32
1195000000,  22.30
