#RxL_SN4004_calculated_noise_V_chan
# f (Hz),T_e_cal (K)
 900000000,  18.93
 901000000,  18.70
 902000000,  18.64
 903000000,  18.68
 904000000,  18.70
 905000000,  18.68
 906000000,  18.57
 907000000,  18.47
 908000000,  18.54
 909000000,  18.63
 910000000,  18.54
 911000000,  18.47
 912000000,  18.43
 913000000,  18.50
 914000000,  18.50
 915000000,  18.52
 916000000,  18.49
 917000000,  18.48
 918000000,  18.53
 919000000,  18.54
 920000000,  18.55
 921000000,  18.56
 922000000,  18.59
 923000000,  18.65
 924000000,  18.64
 925000000,  18.73
 926000000,  18.87
 927000000,  18.65
 928000000,  18.66
 929000000,  18.70
 930000000,  18.60
 931000000,  18.74
 932000000,  18.80
 933000000,  18.88
 934000000,  18.95
 935000000,  18.97
 936000000,  19.01
 937000000,  18.95
 938000000,  19.06
 939000000,  19.09
 940000000,  19.04
 941000000,  19.12
 942000000,  19.09
 943000000,  19.06
 944000000,  19.14
 945000000,  19.02
 946000000,  19.01
 947000000,  19.04
 948000000,  18.98
 949000000,  19.07
 950000000,  19.01
 951000000,  18.95
 952000000,  19.00
 953000000,  19.11
 954000000,  19.04
 955000000,  19.04
 956000000,  19.15
 957000000,  19.03
 958000000,  18.81
 959000000,  18.74
 960000000,  18.64
 961000000,  18.49
 962000000,  18.58
 963000000,  18.64
 964000000,  18.60
 965000000,  18.57
 966000000,  18.59
 967000000,  18.45
 968000000,  18.38
 969000000,  18.30
 970000000,  18.38
 971000000,  18.41
 972000000,  18.31
 973000000,  18.24
 974000000,  18.17
 975000000,  18.07
 976000000,  18.14
 977000000,  18.15
 978000000,  18.11
 979000000,  18.08
 980000000,  18.03
 981000000,  17.95
 982000000,  18.02
 983000000,  18.03
 984000000,  18.09
 985000000,  18.03
 986000000,  17.89
 987000000,  17.90
 988000000,  17.84
 989000000,  17.96
 990000000,  17.91
 991000000,  17.73
 992000000,  17.73
 993000000,  17.74
 994000000,  17.87
 995000000,  17.81
 996000000,  17.74
 997000000,  17.76
 998000000,  17.80
 999000000,  17.77
1000000000,  17.71
1001000000,  17.87
1002000000,  17.98
1003000000,  17.93
1004000000,  17.94
1005000000,  17.94
1006000000,  18.01
1007000000,  17.85
1008000000,  17.93
1009000000,  17.93
1010000000,  17.80
1011000000,  17.84
1012000000,  17.90
1013000000,  18.02
1014000000,  18.09
1015000000,  18.07
1016000000,  18.02
1017000000,  18.07
1018000000,  18.12
1019000000,  18.00
1020000000,  18.10
1021000000,  18.13
1022000000,  18.19
1023000000,  18.22
1024000000,  18.27
1025000000,  18.26
1026000000,  18.11
1027000000,  18.22
1028000000,  18.28
1029000000,  18.23
1030000000,  18.34
1031000000,  18.27
1032000000,  18.31
1033000000,  18.31
1034000000,  18.21
1035000000,  18.30
1036000000,  18.23
1037000000,  18.21
1038000000,  18.28
1039000000,  18.20
1040000000,  18.31
1041000000,  18.38
1042000000,  18.37
1043000000,  18.35
1044000000,  18.22
1045000000,  18.18
1046000000,  18.26
1047000000,  18.31
1048000000,  18.30
1049000000,  18.32
1050000000,  18.25
1051000000,  18.21
1052000000,  18.18
1053000000,  18.05
1054000000,  18.19
1055000000,  18.16
1056000000,  18.23
1057000000,  18.31
1058000000,  18.33
1059000000,  18.08
1060000000,  18.03
1061000000,  18.09
1062000000,  17.89
1063000000,  17.94
1064000000,  18.08
1065000000,  17.97
1066000000,  18.09
1067000000,  17.92
1068000000,  17.86
1069000000,  17.94
1070000000,  17.87
1071000000,  17.88
1072000000,  17.98
1073000000,  18.07
1074000000,  17.99
1075000000,  17.94
1076000000,  17.86
1077000000,  17.72
1078000000,  17.76
1079000000,  17.98
1080000000,  18.02
1081000000,  17.92
1082000000,  17.95
1083000000,  17.84
1084000000,  17.77
1085000000,  17.90
1086000000,  17.92
1087000000,  17.78
1088000000,  17.87
1089000000,  17.91
1090000000,  17.97
1091000000,  17.97
1092000000,  18.05
1093000000,  18.02
1094000000,  17.90
1095000000,  17.83
1096000000,  17.99
1097000000,  18.13
1098000000,  18.10
1099000000,  18.17
1100000000,  18.18
1101000000,  18.15
1102000000,  18.04
1103000000,  18.05
1104000000,  18.06
1105000000,  18.32
1106000000,  18.37
1107000000,  18.28
1108000000,  18.28
1109000000,  18.35
1110000000,  18.27
1111000000,  18.19
1112000000,  18.31
1113000000,  18.36
1114000000,  18.34
1115000000,  18.61
1116000000,  18.53
1117000000,  18.46
1118000000,  18.42
1119000000,  18.42
1120000000,  18.69
1121000000,  18.60
1122000000,  18.68
1123000000,  18.66
1124000000,  18.71
1125000000,  18.73
1126000000,  18.71
1127000000,  18.69
1128000000,  18.88
1129000000,  18.91
1130000000,  18.90
1131000000,  18.98
1132000000,  19.05
1133000000,  19.01
1134000000,  18.84
1135000000,  19.06
1136000000,  18.96
1137000000,  18.99
1138000000,  18.93
1139000000,  19.03
1140000000,  19.02
1141000000,  18.93
1142000000,  19.06
1143000000,  18.93
1144000000,  19.10
1145000000,  19.06
1146000000,  18.97
1147000000,  18.87
1148000000,  18.88
1149000000,  18.79
1150000000,  18.78
1151000000,  18.89
1152000000,  18.68
1153000000,  18.77
1154000000,  18.69
1155000000,  18.60
1156000000,  18.52
1157000000,  18.53
1158000000,  18.57
1159000000,  18.39
1160000000,  18.45
1161000000,  18.26
1162000000,  18.45
1163000000,  18.28
1164000000,  18.16
1165000000,  18.32
1166000000,  18.33
1167000000,  18.23
1168000000,  18.04
1169000000,  18.13
1170000000,  18.19
1171000000,  18.16
1172000000,  17.96
1173000000,  18.02
1174000000,  17.95
1175000000,  17.87
1176000000,  17.84
1177000000,  17.85
1178000000,  17.76
1179000000,  17.55
1180000000,  17.55
1181000000,  17.42
1182000000,  17.46
1183000000,  17.55
1184000000,  17.40
1185000000,  17.35
1186000000,  17.24
1187000000,  17.20
1188000000,  17.15
1189000000,  17.36
1190000000,  17.14
1191000000,  17.04
1192000000,  16.94
1193000000,  17.11
1194000000,  17.08
1195000000,  16.91
1196000000,  16.86
1197000000,  17.09
1198000000,  17.14
1199000000,  17.01
1200000000,  16.91
1201000000,  17.09
1202000000,  17.11
1203000000,  17.13
1204000000,  16.98
1205000000,  17.14
1206000000,  17.02
1207000000,  16.93
1208000000,  16.77
1209000000,  16.95
1210000000,  17.07
1211000000,  17.09
1212000000,  17.07
1213000000,  17.02
1214000000,  16.97
1215000000,  16.95
1216000000,  17.13
1217000000,  17.07
1218000000,  17.03
1219000000,  17.08
1220000000,  17.29
1221000000,  17.31
1222000000,  17.47
1223000000,  17.47
1224000000,  17.42
1225000000,  17.51
1226000000,  17.64
1227000000,  17.84
1228000000,  17.78
1229000000,  17.90
1230000000,  17.75
1231000000,  17.69
1232000000,  17.91
1233000000,  18.00
1234000000,  18.05
1235000000,  18.06
1236000000,  18.26
1237000000,  18.01
1238000000,  18.24
1239000000,  18.27
1240000000,  18.43
1241000000,  18.37
1242000000,  18.55
1243000000,  18.65
1244000000,  18.71
1245000000,  18.73
1246000000,  18.76
1247000000,  19.01
1248000000,  19.07
1249000000,  18.87
1250000000,  19.22
1251000000,  19.29
1252000000,  19.02
1253000000,  19.40
1254000000,  19.45
1255000000,  19.34
1256000000,  19.58
1257000000,  19.71
1258000000,  19.72
1259000000,  19.75
1260000000,  19.99
1261000000,  19.83
1262000000,  20.07
1263000000,  20.30
1264000000,  20.24
1265000000,  20.36
1266000000,  20.27
1267000000,  20.20
1268000000,  20.37
1269000000,  20.57
1270000000,  20.51
1271000000,  20.53
1272000000,  20.61
1273000000,  20.76
1274000000,  20.57
