% f (Hz),	G_rec (dB),	T_e_rec (K)	
900499328.000000,	57.278906,	7.830176
901498048.000000,	57.235346,	7.848226
902496768.000000,	57.221865,	7.673385
903495488.000000,	57.198513,	7.775193
904494144.000000,	57.186844,	7.553184
905492864.000000,	57.166941,	7.629121
906491584.000000,	57.128434,	7.713587
907490304.000000,	57.128899,	7.510542
908488960.000000,	57.096967,	7.627535
909487680.000000,	57.084821,	7.528577
910486400.000000,	57.089193,	7.430313
911485056.000000,	57.081416,	7.423318
912483776.000000,	57.074116,	7.340242
913482496.000000,	57.042713,	7.609342
914481216.000000,	57.043993,	7.347964
915479872.000000,	57.017551,	7.619004
916478592.000000,	57.042863,	7.304556
917477312.000000,	56.999495,	7.361681
918476032.000000,	57.026181,	7.320576
919474688.000000,	57.003196,	7.400237
920473408.000000,	57.004858,	7.305046
921472128.000000,	56.995144,	7.281273
922470848.000000,	57.013211,	7.296717
923469504.000000,	56.997771,	7.190942
924468224.000000,	56.989464,	7.271125
925466944.000000,	56.979260,	7.147396
926465600.000000,	56.974870,	7.239906
927464320.000000,	56.971319,	7.253902
928463040.000000,	56.969660,	7.258611
929461760.000000,	56.964515,	7.256172
930460416.000000,	56.982081,	7.169666
931459136.000000,	56.967970,	7.303484
932457856.000000,	56.952434,	7.413604
933456576.000000,	56.953654,	7.142148
934455232.000000,	56.959156,	7.247981
935453952.000000,	56.967503,	7.128715
936452672.000000,	56.983782,	6.935271
937451392.000000,	56.968181,	7.112067
938450048.000000,	56.968091,	7.069309
939448768.000000,	56.978242,	7.031479
940447488.000000,	56.966412,	7.141954
941446144.000000,	56.974885,	7.097294
942444864.000000,	56.974529,	7.075093
943443584.000000,	56.972315,	7.059109
944442304.000000,	56.970891,	7.088880
945440960.000000,	56.983459,	7.037188
946439680.000000,	56.965456,	6.988615
947438400.000000,	56.974389,	7.050810
948437120.000000,	56.978877,	6.979468
949435776.000000,	56.969129,	7.064874
950434496.000000,	56.965144,	6.979423
951433216.000000,	56.962425,	7.153200
952431936.000000,	56.974894,	6.833750
953430592.000000,	56.950497,	7.004642
954429312.000000,	56.960767,	7.100149
955428032.000000,	56.962753,	6.968700
956426688.000000,	56.951492,	6.937416
957425408.000000,	56.954578,	6.970058
958424128.000000,	56.926941,	7.092878
959422848.000000,	56.932315,	6.992409
960421504.000000,	56.934262,	6.868578
961420224.000000,	56.912949,	6.943879
962418944.000000,	56.913783,	6.928837
963417664.000000,	56.893498,	6.828399
964416320.000000,	56.888968,	6.860947
965415040.000000,	56.874944,	6.854341
966413760.000000,	56.858641,	6.825959
967412480.000000,	56.847609,	6.783867
968411136.000000,	56.863774,	6.722342
969409856.000000,	56.837808,	6.747738
970408576.000000,	56.829011,	6.707484
971407232.000000,	56.823050,	6.804395
972405952.000000,	56.798421,	6.719194
973404672.000000,	56.795344,	6.631135
974403392.000000,	56.786385,	6.727152
975402048.000000,	56.770493,	6.604922
976400768.000000,	56.749475,	6.729524
977399488.000000,	56.742277,	6.742676
978398208.000000,	56.731938,	6.760607
979396864.000000,	56.719458,	6.729634
980395584.000000,	56.715293,	6.713609
981394304.000000,	56.719639,	6.590925
982393024.000000,	56.690426,	6.834755
983391680.000000,	56.674340,	6.610788
984390400.000000,	56.676801,	6.774909
985389120.000000,	56.660186,	6.753555
986387840.000000,	56.676477,	6.646974
987386496.000000,	56.656312,	6.621323
988385216.000000,	56.654064,	6.683459
989383936.000000,	56.644365,	6.611460
990382592.000000,	56.639809,	6.567779
991381312.000000,	56.617347,	6.798756
992380032.000000,	56.611958,	6.742924
993378752.000000,	56.588766,	6.858902
994377408.000000,	56.596346,	6.619016
995376128.000000,	56.588816,	6.631602
996374848.000000,	56.562428,	6.768767
997373568.000000,	56.554893,	6.755520
998372224.000000,	56.568271,	6.595877
999370944.000000,	56.554212,	6.757756
1000369664.000000,	56.543738,	6.875813
1001368384.000000,	56.538475,	6.852513
1002367040.000000,	56.530751,	6.816914
1003365760.000000,	56.537081,	6.777450
1004364480.000000,	56.538796,	6.916002
1005363136.000000,	56.532704,	6.948988
1006361856.000000,	56.534286,	6.842286
1007360576.000000,	56.526132,	6.839136
1008359296.000000,	56.530516,	7.046939
1009357952.000000,	56.509483,	7.128415
1010356672.000000,	56.504538,	6.974515
1011355392.000000,	56.502589,	7.068500
1012354112.000000,	56.512924,	6.778917
1013352768.000000,	56.502278,	6.936967
1014351488.000000,	56.499759,	6.892436
1015350208.000000,	56.491738,	7.051501
1016348928.000000,	56.497588,	6.967320
1017347584.000000,	56.509935,	7.056582
1018346304.000000,	56.461560,	7.182335
1019345024.000000,	56.489874,	7.069788
1020343680.000000,	56.485527,	7.166653
1021342400.000000,	56.477230,	7.124895
1022341120.000000,	56.492720,	7.111764
1023339840.000000,	56.495718,	7.110268
1024338496.000000,	56.490392,	7.099617
1025337216.000000,	56.505581,	7.016718
1026335936.000000,	56.511500,	6.978510
1027334656.000000,	56.498938,	7.098524
1028333312.000000,	56.495782,	7.272204
1029332032.000000,	56.516274,	7.154046
1030330752.000000,	56.515896,	7.016940
1031329472.000000,	56.512992,	7.166042
1032328128.000000,	56.525154,	7.048896
1033326848.000000,	56.522265,	7.106116
1034325568.000000,	56.524591,	7.081918
1035324224.000000,	56.533436,	7.161572
1036322944.000000,	56.540836,	7.023518
1037321664.000000,	56.557798,	7.037298
1038320384.000000,	56.546623,	7.181098
1039319040.000000,	56.544179,	7.026239
1040317760.000000,	56.552433,	7.073861
1041316480.000000,	56.562917,	7.089183
1042315200.000000,	56.551358,	7.087532
1043313856.000000,	56.553647,	7.114323
1044312576.000000,	56.558645,	7.197207
1045311296.000000,	56.553689,	7.127563
1046310016.000000,	56.563714,	6.904613
1047308672.000000,	56.578799,	6.997123
1048307392.000000,	56.568738,	7.069784
1049306112.000000,	56.573854,	6.905155
1050304768.000000,	56.554421,	7.033998
1051303488.000000,	56.560868,	7.067148
1052302208.000000,	56.569607,	6.919524
1053300928.000000,	56.571326,	6.882398
1054299584.000000,	56.576444,	6.956844
1055298304.000000,	56.559622,	6.870870
1056297024.000000,	56.558694,	6.865387
1057295744.000000,	56.540909,	7.002583
1058294400.000000,	56.541494,	6.921942
1059293120.000000,	56.560415,	6.778214
1060291840.000000,	56.544993,	6.888021
1061290560.000000,	56.548994,	6.915476
1062289216.000000,	56.565669,	6.899090
1063287936.000000,	56.537811,	7.010957
1064286656.000000,	56.548903,	6.923727
1065285312.000000,	56.554235,	6.846966
1066284032.000000,	56.555816,	6.789608
1067282752.000000,	56.555868,	6.832189
1068281472.000000,	56.551002,	6.890303
1069280128.000000,	56.550018,	6.745426
1070278848.000000,	56.528598,	6.902724
1071277568.000000,	56.535097,	6.951062
1072276288.000000,	56.532040,	6.797950
1073274944.000000,	56.524688,	6.871722
1074273664.000000,	56.510350,	6.812008
1075272320.000000,	56.500108,	6.902652
1076271104.000000,	56.508008,	6.673609
1077269760.000000,	56.459422,	6.909956
1078268544.000000,	56.469530,	6.839002
1079267200.000000,	56.454502,	6.834070
1080265856.000000,	56.440783,	6.822460
1081264640.000000,	56.437223,	6.777899
1082263296.000000,	56.435903,	6.739003
1083261952.000000,	56.424039,	6.784920
1084260736.000000,	56.412381,	6.928840
1085259392.000000,	56.419841,	6.750846
1086258048.000000,	56.415131,	6.891814
1087256832.000000,	56.418302,	6.964218
1088255488.000000,	56.431979,	6.897859
1089254272.000000,	56.434959,	6.847480
1090252928.000000,	56.459401,	6.917706
1091251584.000000,	56.469688,	6.914315
1092250368.000000,	56.482970,	6.841770
1093249024.000000,	56.483815,	6.935164
1094247680.000000,	56.465930,	6.968574
1095246464.000000,	56.486486,	6.931045
1096245120.000000,	56.486913,	6.976926
1097243776.000000,	56.489226,	6.916173
1098242560.000000,	56.478752,	7.050245
1099241216.000000,	56.468254,	7.053758
1100240000.000000,	56.476275,	7.042546
1101238656.000000,	56.462142,	7.046767
1102237312.000000,	56.464470,	6.954939
1103236096.000000,	56.463636,	6.985606
1104234752.000000,	56.454163,	7.096513
1105233408.000000,	56.463954,	6.981922
1106232192.000000,	56.440547,	7.054733
1107230848.000000,	56.443285,	7.077994
1108229632.000000,	56.443342,	7.162817
1109228288.000000,	56.447887,	7.143496
1110226944.000000,	56.453588,	7.019874
1111225728.000000,	56.465875,	7.105291
1112224384.000000,	56.463711,	7.204160
1113223040.000000,	56.475205,	7.162561
1114221824.000000,	56.472773,	7.222249
1115220480.000000,	56.480878,	7.376361
1116219136.000000,	56.502942,	7.179460
1117217920.000000,	56.521316,	7.070254
1118216576.000000,	56.498334,	7.207491
1119215360.000000,	56.507505,	7.207303
1120214016.000000,	56.507373,	7.132098
1121212672.000000,	56.511959,	7.118490
1122211456.000000,	56.508077,	7.329768
1123210112.000000,	56.496342,	7.326762
1124208768.000000,	56.510723,	7.150843
1125207552.000000,	56.503707,	7.244630
1126206208.000000,	56.479640,	7.285369
1127204992.000000,	56.486363,	7.250043
1128203648.000000,	56.473599,	7.175639
1129202304.000000,	56.480559,	7.254904
1130201088.000000,	56.497114,	7.153233
1131199744.000000,	56.486614,	7.407476
1132198400.000000,	56.496315,	7.227717
1133197184.000000,	56.502622,	7.270202
1134195840.000000,	56.528058,	7.341571
1135194496.000000,	56.531391,	7.384582
1136193280.000000,	56.554210,	7.338494
1137191936.000000,	56.565723,	7.503580
1138190720.000000,	56.582423,	7.319569
1139189376.000000,	56.597824,	7.420690
1140188032.000000,	56.613894,	7.313635
1141186816.000000,	56.624824,	7.192451
1142185472.000000,	56.629148,	7.377558
1143184128.000000,	56.631041,	7.275071
1144182912.000000,	56.649999,	7.192823
1145181568.000000,	56.659887,	7.230386
1146180224.000000,	56.641188,	7.340971
1147179008.000000,	56.633738,	7.403484
1148177664.000000,	56.621919,	7.402668
1149176448.000000,	56.647883,	7.166042
1150175104.000000,	56.637455,	7.258377
1151173760.000000,	56.631538,	7.302881
1152172544.000000,	56.633341,	7.229783
1153171200.000000,	56.633407,	7.310109
1154169856.000000,	56.652739,	7.171415
1155168640.000000,	56.638088,	7.183986
1156167296.000000,	56.644225,	7.165533
1157166080.000000,	56.619054,	7.304695
1158164736.000000,	56.653383,	7.285800
1159163392.000000,	56.675335,	7.148396
1160162176.000000,	56.690683,	7.043387
1161160832.000000,	56.687110,	7.243976
1162159488.000000,	56.694897,	7.180027
1163158272.000000,	56.703861,	7.144715
1164156928.000000,	56.711193,	7.186681
1165155584.000000,	56.732217,	7.080069
1166154368.000000,	56.730031,	7.219956
1167153024.000000,	56.742095,	7.083387
1168151808.000000,	56.733610,	7.035673
1169150464.000000,	56.736577,	7.140569
1170149120.000000,	56.729141,	7.192439
1171147904.000000,	56.723499,	7.217415
1172146560.000000,	56.730707,	7.105969
1173145216.000000,	56.712915,	7.133603
1174144000.000000,	56.715062,	7.056087
1175142656.000000,	56.698358,	7.188572
1176141312.000000,	56.703421,	7.191300
1177140096.000000,	56.695478,	7.143620
1178138752.000000,	56.689408,	7.211337
1179137536.000000,	56.697767,	7.123693
1180136192.000000,	56.687485,	7.207221
1181134848.000000,	56.692702,	7.160668
1182133632.000000,	56.679392,	7.174415
1183132288.000000,	56.697102,	7.228422
1184130944.000000,	56.695489,	7.170780
1185129728.000000,	56.712673,	7.101019
1186128384.000000,	56.698688,	7.149912
1187127168.000000,	56.701878,	7.106877
1188125824.000000,	56.697523,	7.087978
1189124480.000000,	56.711904,	7.009109
1190123264.000000,	56.697582,	7.127415
1191121920.000000,	56.707300,	7.085682
1192120576.000000,	56.693033,	7.099526
1193119360.000000,	56.686794,	6.999361
1194118016.000000,	56.678768,	7.159411
1195116672.000000,	56.676013,	7.109401
1196115456.000000,	56.668853,	7.090158
1197114112.000000,	56.648510,	7.061969
1198112896.000000,	56.658171,	7.078650
1199111552.000000,	56.648427,	7.070116
1200110208.000000,	56.643606,	7.147325
1201108992.000000,	56.642962,	7.008464
1202107648.000000,	56.659152,	7.129985
1203106304.000000,	56.641918,	7.033076
1204105088.000000,	56.635994,	7.137151
1205103744.000000,	56.628182,	7.214323
1206102528.000000,	56.654132,	7.015094
1207101184.000000,	56.630397,	7.185924
1208099840.000000,	56.661322,	7.093830
1209098624.000000,	56.654703,	7.072765
1210097280.000000,	56.656791,	7.066023
1211095936.000000,	56.649303,	6.991665
1212094720.000000,	56.631044,	7.175297
1213093376.000000,	56.654804,	6.976102
1214092032.000000,	56.642731,	7.117821
1215090816.000000,	56.622714,	7.255454
1216089472.000000,	56.639357,	7.212040
1217088256.000000,	56.657948,	7.036340
1218086912.000000,	56.640983,	7.248644
1219085568.000000,	56.650949,	7.210975
1220084352.000000,	56.650317,	7.236302
1221083008.000000,	56.664121,	7.189206
1222081664.000000,	56.665995,	7.303558
1223080448.000000,	56.674233,	7.217972
1224079104.000000,	56.680665,	7.430054
1225077760.000000,	56.696712,	7.317535
1226076544.000000,	56.709709,	7.335485
1227075200.000000,	56.698356,	7.420383
1228073984.000000,	56.717829,	7.351258
1229072640.000000,	56.719430,	7.386141
1230071296.000000,	56.708204,	7.458057
1231070080.000000,	56.745351,	7.324026
1232068736.000000,	56.738099,	7.542198
1233067392.000000,	56.742624,	7.592125
1234066176.000000,	56.748999,	7.332277
1235064832.000000,	56.741045,	7.384175
1236063616.000000,	56.754289,	7.426344
1237062272.000000,	56.758330,	7.408205
1238060928.000000,	56.762731,	7.472460
1239059712.000000,	56.759912,	7.542550
1240058368.000000,	56.773627,	7.469511
1241057024.000000,	56.784365,	7.465445
1242055808.000000,	56.773985,	7.413798
1243054464.000000,	56.790599,	7.514435
1244053120.000000,	56.819170,	7.351763
1245051904.000000,	56.816517,	7.573379
1246050560.000000,	56.835027,	7.543238
1247049344.000000,	56.848431,	7.498481
1248048000.000000,	56.861728,	7.541881
1249046656.000000,	56.884411,	7.488614
1250045440.000000,	56.881277,	7.554143
1251044096.000000,	56.908645,	7.542412
1252042752.000000,	56.915998,	7.487846
1253041536.000000,	56.932413,	7.430594
1254040192.000000,	56.941917,	7.521004
1255038848.000000,	56.948155,	7.553090
1256037632.000000,	56.951617,	7.566224
1257036288.000000,	56.960373,	7.638665
1258035072.000000,	56.982086,	7.437799
1259033728.000000,	56.958871,	7.639348
1260032384.000000,	56.975190,	7.526389
1261031168.000000,	56.988798,	7.544525
1262029824.000000,	56.972926,	7.600541
1263028480.000000,	56.986946,	7.593750
1264027264.000000,	56.992457,	7.604852
1265025920.000000,	57.000286,	7.585260
1266024704.000000,	57.019211,	7.684150
1267023360.000000,	57.019698,	7.667902
1268022016.000000,	57.041661,	7.619661
1269020800.000000,	57.039310,	7.609993
1270019456.000000,	57.069193,	7.486336
1271018112.000000,	57.080880,	7.511370
1272016896.000000,	57.075882,	7.511760
1273015552.000000,	57.092063,	7.584830
1274014208.000000,	57.113611,	7.497927
1275012992.000000,	57.113725,	7.637197
1276011648.000000,	57.124294,	7.603972
1277010432.000000,	57.131414,	7.544291
1278009088.000000,	57.137053,	7.636615
1279007744.000000,	57.151300,	7.578331
1280006528.000000,	57.166604,	7.429211
1281005184.000000,	57.171365,	7.489316
1282003840.000000,	57.165204,	7.617829
1283002624.000000,	57.164494,	7.434998
1284001280.000000,	57.171519,	7.511665
1285000064.000000,	57.171480,	7.488571
1285998720.000000,	57.200952,	7.344325
