% f (Hz),	G_rec (dB),	T_e_rec (K)
900000000.000000,	58.025455,	8.082962
901000000.000000,	57.993544,	8.143649
902000000.000000,	58.000005,	8.033988
903000000.000000,	58.005805,	7.886422
904000000.000000,	57.985903,	7.831827
905000000.000000,	57.982301,	7.770512
906000000.000000,	57.959944,	7.780617
907000000.000000,	57.962005,	7.638044
908000000.000000,	57.945299,	7.709232
909000000.000000,	57.943259,	7.668468
910000000.000000,	57.906264,	7.818792
911000000.000000,	57.923452,	7.429239
912000000.000000,	57.901708,	7.632766
913000000.000000,	57.863378,	7.565484
914000000.000000,	57.867989,	7.399145
915000000.000000,	57.861641,	7.376182
916000000.000000,	57.847919,	7.361696
917000000.000000,	57.829727,	7.376718
918000000.000000,	57.829063,	7.458343
919000000.000000,	57.832472,	7.293263
920000000.000000,	57.787549,	7.481947
921000000.000000,	57.788704,	7.265756
922000000.000000,	57.772189,	7.368918
923000000.000000,	57.770622,	7.253126
924000000.000000,	57.742498,	7.285182
925000000.000000,	57.732894,	7.366956
926000000.000000,	57.739423,	7.214221
927000000.000000,	57.721005,	7.143562
928000000.000000,	57.718042,	7.150676
929000000.000000,	57.678997,	7.259960
930000000.000000,	57.693739,	7.128336
931000000.000000,	57.687308,	7.164770
932000000.000000,	57.665887,	7.244667
933000000.000000,	57.680532,	7.125199
934000000.000000,	57.654802,	7.282606
935000000.000000,	57.655166,	7.106320
936000000.000000,	57.669878,	7.146433
937000000.000000,	57.690554,	7.084366
938000000.000000,	57.680643,	7.026681
939000000.000000,	57.661282,	7.041763
940000000.000000,	57.665702,	7.125088
941000000.000000,	57.640502,	7.326822
942000000.000000,	57.671105,	7.156684
943000000.000000,	57.646702,	7.160377
944000000.000000,	57.663289,	7.224986
945000000.000000,	57.667788,	7.079925
946000000.000000,	57.654601,	7.156974
947000000.000000,	57.659571,	7.185237
948000000.000000,	57.665817,	7.188763
949000000.000000,	57.662584,	7.172978
950000000.000000,	57.680577,	7.048425
951000000.000000,	57.668626,	7.149679
952000000.000000,	57.676521,	7.104905
953000000.000000,	57.693236,	6.940008
954000000.000000,	57.686114,	7.165709
955000000.000000,	57.678868,	7.065677
956000000.000000,	57.709618,	7.022486
957000000.000000,	57.692997,	7.025640
958000000.000000,	57.714245,	6.961041
959000000.000000,	57.682409,	6.977068
960000000.000000,	57.713488,	6.873178
961000000.000000,	57.709451,	6.984233
962000000.000000,	57.710880,	6.962521
963000000.000000,	57.701164,	7.083528
964000000.000000,	57.712295,	6.945350
965000000.000000,	57.721555,	6.912212
966000000.000000,	57.715301,	6.800845
967000000.000000,	57.703087,	6.938188
968000000.000000,	57.699023,	6.856595
969000000.000000,	57.699504,	6.793728
970000000.000000,	57.713332,	6.791559
971000000.000000,	57.692581,	6.817957
972000000.000000,	57.706737,	6.683240
973000000.000000,	57.702190,	6.711336
974000000.000000,	57.686865,	6.569548
975000000.000000,	57.699495,	6.519165
976000000.000000,	57.675204,	6.711064
977000000.000000,	57.689952,	6.511075
978000000.000000,	57.686193,	6.625916
979000000.000000,	57.670225,	6.534745
980000000.000000,	57.675607,	6.595427
981000000.000000,	57.668201,	6.525751
982000000.000000,	57.674837,	6.573110
983000000.000000,	57.677277,	6.477476
984000000.000000,	57.678105,	6.427768
985000000.000000,	57.662559,	6.507158
986000000.000000,	57.667574,	6.503168
987000000.000000,	57.673389,	6.542797
988000000.000000,	57.690071,	6.529172
989000000.000000,	57.692111,	6.414824
990000000.000000,	57.690329,	6.524658
991000000.000000,	57.714491,	6.478743
992000000.000000,	57.702222,	6.529965
993000000.000000,	57.688272,	6.497699
994000000.000000,	57.691481,	6.510093
995000000.000000,	57.676582,	6.443787
996000000.000000,	57.647018,	6.358291
997000000.000000,	57.657003,	6.273241
998000000.000000,	57.637193,	6.540161
999000000.000000,	57.649883,	6.491183
1000000000.000000,	57.631380,	6.573697
1001000000.000000,	57.629557,	6.461951
1002000000.000000,	57.631348,	6.527387
1003000000.000000,	57.618809,	6.649364
1004000000.000000,	57.638058,	6.515918
1005000000.000000,	57.626861,	6.530032
1006000000.000000,	57.662927,	6.402374
1007000000.000000,	57.638706,	6.618423
1008000000.000000,	57.637491,	6.549428
1009000000.000000,	57.630448,	6.594254
1010000000.000000,	57.628428,	6.594533
1011000000.000000,	57.594381,	6.563793
1012000000.000000,	57.594734,	6.635409
1013000000.000000,	57.594238,	6.537826
1014000000.000000,	57.580823,	6.636461
1015000000.000000,	57.591224,	6.545941
1016000000.000000,	57.559065,	6.743733
1017000000.000000,	57.568147,	6.766944
1018000000.000000,	57.583357,	6.556703
1019000000.000000,	57.571568,	6.735097
1020000000.000000,	57.555788,	6.770453
1021000000.000000,	57.565127,	6.728627
1022000000.000000,	57.573762,	6.710616
1023000000.000000,	57.593970,	6.656920
1024000000.000000,	57.573135,	6.780098
1025000000.000000,	57.609036,	6.648595
1026000000.000000,	57.578301,	6.843387
1027000000.000000,	57.561411,	6.831003
1028000000.000000,	57.582712,	6.664267
1029000000.000000,	57.581807,	6.778564
1030000000.000000,	57.565623,	6.823750
1031000000.000000,	57.550795,	6.836053
1032000000.000000,	57.560445,	6.678949
1033000000.000000,	57.576826,	6.843824
1034000000.000000,	57.580121,	6.722410
1035000000.000000,	57.562764,	6.854758
1036000000.000000,	57.580240,	6.849488
1037000000.000000,	57.579545,	6.921790
1038000000.000000,	57.565719,	6.792455
1039000000.000000,	57.621374,	6.644874
1040000000.000000,	57.599132,	6.791808
1041000000.000000,	57.615020,	6.763362
1042000000.000000,	57.597459,	6.796276
1043000000.000000,	57.625787,	6.857425
1044000000.000000,	57.627182,	6.942484
1045000000.000000,	57.627816,	6.857462
1046000000.000000,	57.648330,	6.550323
1047000000.000000,	57.659439,	6.724697
1048000000.000000,	57.674162,	6.716058
1049000000.000000,	57.670810,	6.792871
1050000000.000000,	57.689348,	6.783348
1051000000.000000,	57.683101,	6.844330
1052000000.000000,	57.690544,	6.818824
1053000000.000000,	57.701290,	6.770844
1054000000.000000,	57.707022,	6.762624
1055000000.000000,	57.726134,	6.760067
1056000000.000000,	57.721077,	6.686789
1057000000.000000,	57.725980,	6.556356
1058000000.000000,	57.754126,	6.555525
1059000000.000000,	57.744476,	6.609689
1060000000.000000,	57.745646,	6.565873
1061000000.000000,	57.732290,	6.700800
1062000000.000000,	57.744365,	6.718178
1063000000.000000,	57.761020,	6.702425
1064000000.000000,	57.752789,	6.590945
1065000000.000000,	57.764292,	6.559235
1066000000.000000,	57.782022,	6.609261
1067000000.000000,	57.788402,	6.601045
1068000000.000000,	57.782598,	6.578328
1069000000.000000,	57.798789,	6.499854
1070000000.000000,	57.772551,	6.640565
1071000000.000000,	57.780949,	6.617335
1072000000.000000,	57.783107,	6.529484
1073000000.000000,	57.805721,	6.571795
1074000000.000000,	57.796374,	6.458353
1075000000.000000,	57.781974,	6.598590
1076000000.000000,	57.790395,	6.461921
1077000000.000000,	57.775377,	6.587131
1078000000.000000,	57.785909,	6.470035
1079000000.000000,	57.791700,	6.276998
1080000000.000000,	57.782441,	6.472953
1081000000.000000,	57.756745,	6.578344
1082000000.000000,	57.760360,	6.501509
1083000000.000000,	57.780860,	6.504280
1084000000.000000,	57.779184,	6.495018
1085000000.000000,	57.774419,	6.546013
1086000000.000000,	57.776738,	6.571981
1087000000.000000,	57.798100,	6.533903
1088000000.000000,	57.782802,	6.676760
1089000000.000000,	57.805306,	6.398286
1090000000.000000,	57.815706,	6.520581
1091000000.000000,	57.823552,	6.407809
1092000000.000000,	57.845480,	6.460004
1093000000.000000,	57.842536,	6.573331
1094000000.000000,	57.843161,	6.544618
1095000000.000000,	57.851295,	6.537200
1096000000.000000,	57.865374,	6.471083
1097000000.000000,	57.875263,	6.570774
1098000000.000000,	57.858221,	6.494333
1099000000.000000,	57.862048,	6.557686
1100000000.000000,	57.864824,	6.540790
1101000000.000000,	57.851808,	6.559992
1102000000.000000,	57.869767,	6.576916
1103000000.000000,	57.829977,	6.630045
1104000000.000000,	57.850708,	6.521764
1105000000.000000,	57.833721,	6.682185
1106000000.000000,	57.868196,	6.636239
1107000000.000000,	57.861922,	6.641842
1108000000.000000,	57.838736,	6.560250
1109000000.000000,	57.846670,	6.657778
1110000000.000000,	57.862617,	6.729197
1111000000.000000,	57.872420,	6.686164
1112000000.000000,	57.875730,	6.699004
1113000000.000000,	57.877858,	6.643335
1114000000.000000,	57.887523,	6.687841
1115000000.000000,	57.898066,	6.822869
1116000000.000000,	57.914560,	6.646139
1117000000.000000,	57.920645,	6.789446
1118000000.000000,	57.917292,	6.700737
1119000000.000000,	57.938597,	6.658577
1120000000.000000,	57.940059,	6.697943
1121000000.000000,	57.941975,	6.775382
1122000000.000000,	57.929999,	6.770119
1123000000.000000,	57.940732,	6.893953
1124000000.000000,	57.944254,	6.921606
1125000000.000000,	57.937046,	6.870541
1126000000.000000,	57.950560,	6.933686
1127000000.000000,	57.942511,	6.827235
1128000000.000000,	57.934507,	6.979783
1129000000.000000,	57.937248,	6.806152
1130000000.000000,	57.948803,	6.863149
1131000000.000000,	57.964972,	6.818006
1132000000.000000,	57.957931,	6.800505
1133000000.000000,	57.968919,	6.865554
1134000000.000000,	57.977872,	6.987748
1135000000.000000,	58.019762,	6.873124
1136000000.000000,	57.993974,	6.903835
1137000000.000000,	58.019132,	6.971896
1138000000.000000,	58.029343,	6.922671
1139000000.000000,	58.057964,	7.038409
1140000000.000000,	58.072670,	6.917236
1141000000.000000,	58.069202,	6.949447
1142000000.000000,	58.089707,	6.966420
1143000000.000000,	58.120225,	6.977319
1144000000.000000,	58.139643,	6.908236
1145000000.000000,	58.125249,	6.826522
1146000000.000000,	58.150207,	6.886879
1147000000.000000,	58.140672,	6.870163
1148000000.000000,	58.152649,	6.987675
1149000000.000000,	58.158579,	6.919852
1150000000.000000,	58.165526,	6.965532
1151000000.000000,	58.171577,	6.891132
1152000000.000000,	58.173232,	6.907452
1153000000.000000,	58.191227,	6.818128
1154000000.000000,	58.175817,	6.907592
1155000000.000000,	58.203215,	6.698746
1156000000.000000,	58.176764,	6.904319
1157000000.000000,	58.202854,	6.931906
1158000000.000000,	58.224874,	6.831220
