% f (Hz),   G_rec (dB), T_e_rec (K) 
 900000000,  56.29,   8.49
 901000000,  56.27,   8.45
 902000000,  56.26,   8.41
 903000000,  56.24,   8.35
 904000000,  56.21,   8.27
 905000000,  56.20,   8.23
 906000000,  56.19,   8.27
 907000000,  56.17,   8.28
 908000000,  56.16,   8.16
 909000000,  56.16,   8.25
 910000000,  56.15,   8.30
 911000000,  56.13,   8.24
 912000000,  56.14,   8.31
 913000000,  56.12,   8.26
 914000000,  56.12,   8.19
 915000000,  56.11,   8.13
 916000000,  56.11,   8.15
 917000000,  56.10,   8.21
 918000000,  56.10,   8.18
 919000000,  56.10,   8.15
 920000000,  56.10,   8.11
 921000000,  56.09,   8.09
 922000000,  56.09,   8.09
 923000000,  56.09,   8.10
 924000000,  56.09,   8.06
 925000000,  56.11,   7.96
 926000000,  56.09,   7.94
 927000000,  56.10,   7.99
 928000000,  56.10,   8.06
 929000000,  56.11,   8.04
 930000000,  56.10,   8.08
 931000000,  56.10,   8.07
 932000000,  56.11,   7.93
 933000000,  56.10,   7.92
 934000000,  56.10,   7.91
 935000000,  56.10,   7.84
 936000000,  56.09,   7.90
 937000000,  56.08,   7.97
 938000000,  56.08,   7.94
 939000000,  56.06,   7.94
 940000000,  56.05,   7.94
 941000000,  56.03,   7.94
 942000000,  56.04,   7.98
 943000000,  56.02,   7.98
 944000000,  56.01,   7.96
 945000000,  56.00,   7.91
 946000000,  55.98,   7.92
 947000000,  55.97,   7.91
 948000000,  55.95,   7.95
 949000000,  55.94,   7.84
 950000000,  55.93,   7.79
 951000000,  55.91,   7.78
 952000000,  55.90,   7.86
 953000000,  55.88,   7.95
 954000000,  55.86,   7.79
 955000000,  55.83,   7.76
 956000000,  55.82,   7.77
 957000000,  55.80,   7.81
 958000000,  55.78,   7.84
 959000000,  55.75,   7.76
 960000000,  55.73,   7.68
 961000000,  55.70,   7.68
 962000000,  55.68,   7.71
 963000000,  55.66,   7.66
 964000000,  55.64,   7.67
 965000000,  55.61,   7.58
 966000000,  55.59,   7.55
 967000000,  55.56,   7.67
 968000000,  55.54,   7.69
 969000000,  55.52,   7.57
 970000000,  55.50,   7.59
 971000000,  55.48,   7.65
 972000000,  55.46,   7.52
 973000000,  55.44,   7.50
 974000000,  55.41,   7.54
 975000000,  55.40,   7.51
 976000000,  55.38,   7.50
 977000000,  55.36,   7.52
 978000000,  55.35,   7.59
 979000000,  55.32,   7.55
 980000000,  55.31,   7.50
 981000000,  55.29,   7.59
 982000000,  55.27,   7.60
 983000000,  55.26,   7.61
 984000000,  55.24,   7.57
 985000000,  55.24,   7.61
 986000000,  55.22,   7.68
 987000000,  55.21,   7.59
 988000000,  55.21,   7.53
 989000000,  55.20,   7.57
 990000000,  55.19,   7.61
 991000000,  55.18,   7.67
 992000000,  55.18,   7.71
 993000000,  55.17,   7.73
 994000000,  55.17,   7.66
 995000000,  55.16,   7.72
 996000000,  55.16,   7.74
 997000000,  55.16,   7.73
 998000000,  55.16,   7.77
 999000000,  55.16,   7.77
1000000000,  55.15,   7.73
1001000000,  55.16,   7.82
1002000000,  55.15,   7.85
1003000000,  55.16,   7.83
1004000000,  55.16,   7.82
1005000000,  55.15,   7.88
1006000000,  55.16,   7.97
1007000000,  55.16,   7.90
1008000000,  55.17,   7.89
1009000000,  55.17,   7.88
1010000000,  55.16,   7.93
1011000000,  55.18,   8.02
1012000000,  55.18,   7.99
1013000000,  55.19,   7.94
1014000000,  55.20,   7.86
1015000000,  55.20,   7.95
1016000000,  55.20,   8.03
1017000000,  55.21,   8.02
1018000000,  55.23,   7.85
1019000000,  55.22,   7.88
1020000000,  55.23,   8.02
1021000000,  55.24,   8.06
1022000000,  55.24,   7.96
1023000000,  55.25,   7.94
1024000000,  55.25,   7.93
1025000000,  55.25,   7.94
1026000000,  55.25,   8.02
1027000000,  55.26,   8.00
1028000000,  55.25,   8.06
1029000000,  55.26,   8.14
1030000000,  55.26,   8.11
1031000000,  55.26,   7.97
1032000000,  55.27,   7.94
1033000000,  55.26,   7.94
1034000000,  55.25,   8.01
1035000000,  55.26,   8.02
1036000000,  55.25,   8.03
1037000000,  55.25,   8.05
1038000000,  55.25,   7.94
1039000000,  55.24,   7.93
1040000000,  55.24,   7.94
1041000000,  55.24,   7.92
1042000000,  55.23,   7.99
1043000000,  55.23,   7.94
1044000000,  55.21,   7.96
1045000000,  55.21,   7.88
1046000000,  55.20,   7.94
1047000000,  55.19,   7.95
1048000000,  55.18,   7.96
1049000000,  55.17,   7.87
1050000000,  55.15,   7.88
1051000000,  55.14,   7.89
1052000000,  55.13,   7.87
1053000000,  55.13,   7.88
1054000000,  55.11,   7.90
1055000000,  55.10,   7.82
1056000000,  55.08,   7.84
1057000000,  55.08,   7.80
1058000000,  55.06,   7.94
1059000000,  55.04,   8.02
1060000000,  55.03,   8.00
1061000000,  55.01,   7.91
1062000000,  55.00,   7.84
1063000000,  54.98,   7.81
1064000000,  54.96,   7.87
1065000000,  54.95,   7.85
1066000000,  54.93,   7.89
1067000000,  54.92,   7.97
1068000000,  54.91,   7.94
1069000000,  54.89,   7.95
1070000000,  54.88,   7.85
1071000000,  54.86,   7.95
1072000000,  54.84,   7.97
1073000000,  54.82,   7.94
1074000000,  54.81,   7.88
1075000000,  54.80,   7.93
1076000000,  54.77,   7.86
1077000000,  54.76,   7.90
