% f (Hz),G_rec (dB),T_e_rec (K)
 900000000,  56.77,   8.85
 901000000,  56.75,   8.91
 902000000,  56.73,   8.94
 903000000,  56.71,   8.97
 904000000,  56.67,   8.91
 905000000,  56.66,   8.89
 906000000,  56.64,   8.82
 907000000,  56.62,   8.70
 908000000,  56.60,   8.72
 909000000,  56.59,   8.73
 910000000,  56.57,   8.73
 911000000,  56.55,   8.66
 912000000,  56.54,   8.58
 913000000,  56.53,   8.51
 914000000,  56.52,   8.53
 915000000,  56.50,   8.56
 916000000,  56.50,   8.58
 917000000,  56.49,   8.43
 918000000,  56.48,   8.34
 919000000,  56.48,   8.45
 920000000,  56.47,   8.43
 921000000,  56.46,   8.44
 922000000,  56.46,   8.40
 923000000,  56.46,   8.33
 924000000,  56.45,   8.32
 925000000,  56.46,   8.29
 926000000,  56.45,   8.32
 927000000,  56.46,   8.29
 928000000,  56.46,   8.25
 929000000,  56.46,   8.28
 930000000,  56.46,   8.26
 931000000,  56.46,   8.31
 932000000,  56.48,   8.28
 933000000,  56.47,   8.25
 934000000,  56.48,   8.31
 935000000,  56.49,   8.34
 936000000,  56.49,   8.32
 937000000,  56.49,   8.27
 938000000,  56.50,   8.24
 939000000,  56.50,   8.22
 940000000,  56.50,   8.29
 941000000,  56.51,   8.32
 942000000,  56.52,   8.28
 943000000,  56.52,   8.29
 944000000,  56.52,   8.26
 945000000,  56.52,   8.22
 946000000,  56.52,   8.24
 947000000,  56.52,   8.15
 948000000,  56.51,   8.17
 949000000,  56.52,   8.25
 950000000,  56.52,   8.22
 951000000,  56.52,   8.19
 952000000,  56.52,   8.31
 953000000,  56.51,   8.26
 954000000,  56.50,   8.12
 955000000,  56.50,   8.15
 956000000,  56.50,   8.06
 957000000,  56.49,   8.02
 958000000,  56.49,   8.17
 959000000,  56.48,   8.13
 960000000,  56.47,   7.99
 961000000,  56.46,   8.04
 962000000,  56.45,   8.02
 963000000,  56.44,   7.93
 964000000,  56.43,   7.90
 965000000,  56.42,   7.97
 966000000,  56.41,   7.91
 967000000,  56.39,   7.90
 968000000,  56.38,   8.07
 969000000,  56.37,   8.02
 970000000,  56.36,   7.92
 971000000,  56.34,   7.97
 972000000,  56.33,   7.95
 973000000,  56.32,   7.88
 974000000,  56.29,   7.89
 975000000,  56.29,   7.89
 976000000,  56.27,   7.87
 977000000,  56.25,   7.85
 978000000,  56.24,   7.84
 979000000,  56.22,   7.80
 980000000,  56.21,   7.82
 981000000,  56.19,   7.86
 982000000,  56.17,   7.89
 983000000,  56.16,   7.77
 984000000,  56.13,   7.75
 985000000,  56.13,   7.80
 986000000,  56.11,   7.80
 987000000,  56.09,   7.84
 988000000,  56.09,   7.80
