% f (Hz),G_rec (dB),T_e_rec (K)
 900000000,  54.63,   7.07
 901000000,  54.62,   7.25
 902000000,  54.61,   7.36
 903000000,  54.60,   7.24
 904000000,  54.57,   7.26
 905000000,  54.56,   7.26
 906000000,  54.55,   7.17
 907000000,  54.54,   7.20
 908000000,  54.53,   7.24
 909000000,  54.52,   7.14
 910000000,  54.51,   7.19
 911000000,  54.50,   7.18
 912000000,  54.50,   7.32
 913000000,  54.49,   7.13
 914000000,  54.48,   7.20
 915000000,  54.47,   7.18
 916000000,  54.47,   7.22
 917000000,  54.46,   7.02
 918000000,  54.46,   7.02
 919000000,  54.46,   7.09
 920000000,  54.45,   7.19
 921000000,  54.45,   7.09
 922000000,  54.45,   6.90
 923000000,  54.45,   6.92
 924000000,  54.44,   7.16
 925000000,  54.46,   6.95
 926000000,  54.44,   7.11
 927000000,  54.45,   6.98
 928000000,  54.45,   7.25
 929000000,  54.46,   7.06
 930000000,  54.46,   6.97
 931000000,  54.46,   6.97
 932000000,  54.47,   7.04
 933000000,  54.47,   6.98
 934000000,  54.47,   7.17
 935000000,  54.48,   7.18
 936000000,  54.47,   6.98
 937000000,  54.48,   6.96
 938000000,  54.48,   6.85
 939000000,  54.48,   6.87
 940000000,  54.47,   7.07
 941000000,  54.47,   6.87
 942000000,  54.48,   7.00
 943000000,  54.48,   7.10
 944000000,  54.48,   6.90
 945000000,  54.48,   7.06
 946000000,  54.47,   6.98
 947000000,  54.47,   6.94
 948000000,  54.46,   7.05
 949000000,  54.46,   6.93
 950000000,  54.46,   7.08
 951000000,  54.46,   7.11
 952000000,  54.45,   6.91
 953000000,  54.45,   6.89
 954000000,  54.44,   6.89
 955000000,  54.43,   6.98
 956000000,  54.44,   7.13
 957000000,  54.43,   7.04
 958000000,  54.42,   6.93
 959000000,  54.41,   6.96
 960000000,  54.40,   7.08
 961000000,  54.39,   7.11
 962000000,  54.38,   6.97
 963000000,  54.37,   7.06
 964000000,  54.36,   7.12
 965000000,  54.35,   7.12
 966000000,  54.33,   6.99
 967000000,  54.32,   7.13
 968000000,  54.31,   7.12
 969000000,  54.30,   7.00
 970000000,  54.29,   7.04
 971000000,  54.28,   7.09
 972000000,  54.27,   7.05
 973000000,  54.27,   7.03
 974000000,  54.25,   7.11
 975000000,  54.26,   7.19
 976000000,  54.25,   7.06
 977000000,  54.24,   7.12
 978000000,  54.25,   7.17
 979000000,  54.24,   7.14
 980000000,  54.25,   7.23
 981000000,  54.25,   7.15
 982000000,  54.25,   7.16
 983000000,  54.26,   7.30
 984000000,  54.25,   7.23
 985000000,  54.25,   7.23
 986000000,  54.23,   7.12
 987000000,  54.20,   7.22
 988000000,  54.17,   7.25
 989000000,  54.14,   7.36
 990000000,  54.11,   7.50
 991000000,  54.09,   7.36
 992000000,  54.08,   7.43
 993000000,  54.06,   7.38
 994000000,  54.05,   7.40
 995000000,  54.05,   7.47
 996000000,  54.05,   7.47
 997000000,  54.05,   7.48
 998000000,  54.04,   7.60
 999000000,  54.05,   7.55
1000000000,  54.05,   7.63
1001000000,  54.05,   7.64
1002000000,  54.06,   7.69
1003000000,  54.07,   7.67
1004000000,  54.07,   7.62
1005000000,  54.07,   7.49
1006000000,  54.08,   7.63
1007000000,  54.08,   7.77
1008000000,  54.09,   7.66
1009000000,  54.09,   7.66
1010000000,  54.08,   7.70
1011000000,  54.11,   7.66
1012000000,  54.11,   7.59
1013000000,  54.13,   7.71
1014000000,  54.14,   7.81
1015000000,  54.13,   7.82
1016000000,  54.13,   7.68
1017000000,  54.14,   7.66
1018000000,  54.16,   7.81
1019000000,  54.15,   7.80
1020000000,  54.16,   7.75
1021000000,  54.17,   7.71
1022000000,  54.17,   7.67
1023000000,  54.18,   7.81
1024000000,  54.20,   7.87
1025000000,  54.20,   7.77
1026000000,  54.21,   7.84
1027000000,  54.22,   7.80
1028000000,  54.22,   7.91
1029000000,  54.24,   7.99
1030000000,  54.25,   7.96
1031000000,  54.26,   7.98
1032000000,  54.27,   7.93
1033000000,  54.27,   7.90
1034000000,  54.27,   7.98
1035000000,  54.29,   7.81
1036000000,  54.29,   7.90
1037000000,  54.29,   7.93
1038000000,  54.30,   7.75
1039000000,  54.30,   7.87
1040000000,  54.31,   7.99
1041000000,  54.31,   8.05
