#RxL_SN4003_calculated_noise_V_chan
# f (Hz),T_e_cal (K)
 900000000,  20.48
 901000000,  20.23
 902000000,  20.15
 903000000,  20.15
 904000000,  20.16
 905000000,  20.16
 906000000,  20.19
 907000000,  20.19
 908000000,  20.20
 909000000,  20.21
 910000000,  20.14
 911000000,  20.11
 912000000,  20.05
 913000000,  20.04
 914000000,  19.99
 915000000,  19.98
 916000000,  19.99
 917000000,  19.99
 918000000,  19.96
 919000000,  19.98
 920000000,  19.97
 921000000,  20.00
 922000000,  20.04
 923000000,  20.06
 924000000,  19.96
 925000000,  20.19
 926000000,  20.38
 927000000,  20.30
 928000000,  20.27
 929000000,  20.31
 930000000,  20.31
 931000000,  20.19
 932000000,  20.19
 933000000,  20.27
 934000000,  20.32
 935000000,  20.39
 936000000,  20.39
 937000000,  20.41
 938000000,  20.42
 939000000,  20.42
 940000000,  20.53
 941000000,  20.60
 942000000,  20.53
 943000000,  20.49
 944000000,  20.55
 945000000,  20.46
 946000000,  20.40
 947000000,  20.49
 948000000,  20.48
 949000000,  20.32
 950000000,  20.33
 951000000,  20.38
 952000000,  20.40
 953000000,  20.40
 954000000,  20.37
 955000000,  20.42
 956000000,  20.35
 957000000,  20.31
 958000000,  20.31
 959000000,  20.23
 960000000,  20.19
 961000000,  20.28
 962000000,  20.25
 963000000,  20.18
 964000000,  20.07
 965000000,  20.05
 966000000,  20.07
 967000000,  20.09
 968000000,  19.98
 969000000,  19.95
 970000000,  19.97
 971000000,  19.96
 972000000,  19.82
 973000000,  19.74
 974000000,  19.87
 975000000,  19.86
 976000000,  19.78
 977000000,  19.61
 978000000,  19.61
 979000000,  19.59
 980000000,  19.58
 981000000,  19.51
 982000000,  19.61
 983000000,  19.70
 984000000,  19.58
 985000000,  19.42
 986000000,  19.51
 987000000,  19.54
 988000000,  19.51
 989000000,  19.48
 990000000,  19.38
 991000000,  19.45
 992000000,  19.55
 993000000,  19.56
 994000000,  19.54
 995000000,  19.54
 996000000,  19.43
 997000000,  19.46
 998000000,  19.52
 999000000,  19.48
1000000000,  19.52
1001000000,  19.37
1002000000,  19.52
1003000000,  19.57
1004000000,  19.48
1005000000,  19.49
1006000000,  19.57
1007000000,  19.75
1008000000,  19.72
1009000000,  19.63
1010000000,  19.61
1011000000,  19.71
1012000000,  19.74
1013000000,  19.79
1014000000,  19.74
1015000000,  19.70
1016000000,  19.75
1017000000,  19.93
1018000000,  20.00
1019000000,  19.94
1020000000,  19.89
1021000000,  19.89
1022000000,  19.83
1023000000,  19.84
1024000000,  19.91
1025000000,  20.05
1026000000,  20.03
1027000000,  20.04
1028000000,  20.17
1029000000,  20.05
1030000000,  19.82
1031000000,  20.03
1032000000,  20.16
1033000000,  19.95
1034000000,  19.94
1035000000,  20.01
1036000000,  19.86
1037000000,  19.97
1038000000,  20.10
1039000000,  20.04
1040000000,  19.99
1041000000,  19.93
1042000000,  19.90
1043000000,  19.93
1044000000,  20.03
1045000000,  20.13
1046000000,  20.09
1047000000,  19.85
1048000000,  19.94
1049000000,  19.99
1050000000,  19.90
1051000000,  19.82
1052000000,  19.85
1053000000,  19.88
1054000000,  19.92
1055000000,  19.91
1056000000,  19.71
1057000000,  19.74
1058000000,  19.83
1059000000,  19.80
1060000000,  19.77
1061000000,  19.66
1062000000,  19.84
1063000000,  19.89
1064000000,  19.87
1065000000,  19.75
1066000000,  19.73
1067000000,  19.64
1068000000,  19.58
1069000000,  19.56
1070000000,  19.66
1071000000,  19.64
1072000000,  19.68
1073000000,  19.53
1074000000,  19.48
1075000000,  19.54
1076000000,  19.58
1077000000,  19.69
1078000000,  19.63
1079000000,  19.59
1080000000,  19.67
1081000000,  19.56
1082000000,  19.64
1083000000,  19.48
1084000000,  19.46
1085000000,  19.47
1086000000,  19.39
1087000000,  19.56
1088000000,  19.54
1089000000,  19.50
1090000000,  19.79
1091000000,  19.57
1092000000,  19.57
1093000000,  19.54
1094000000,  19.72
1095000000,  19.92
1096000000,  19.70
1097000000,  19.77
1098000000,  19.76
1099000000,  19.97
1100000000,  19.84
1101000000,  19.89
1102000000,  19.98
1103000000,  19.89
1104000000,  19.71
1105000000,  19.77
1106000000,  19.87
