#RxL_SN4006_calculated_noise_H_chan
# f (Hz),T_e_cal (K)
 900000000,  22.52
 901000000,  22.35
 902000000,  22.22
 903000000,  22.14
 904000000,  22.20
 905000000,  22.20
 906000000,  22.18
 907000000,  22.17
 908000000,  22.09
 909000000,  22.05
 910000000,  22.04
 911000000,  22.09
 912000000,  22.10
 913000000,  22.14
 914000000,  22.17
 915000000,  22.05
 916000000,  22.13
 917000000,  22.18
 918000000,  22.15
 919000000,  22.24
 920000000,  22.29
 921000000,  22.21
 922000000,  22.21
 923000000,  22.25
 924000000,  22.21
 925000000,  22.30
 926000000,  22.37
 927000000,  22.35
 928000000,  22.31
 929000000,  22.35
 930000000,  22.31
 931000000,  22.30
 932000000,  22.43
 933000000,  22.41
 934000000,  22.31
 935000000,  22.36
 936000000,  22.48
 937000000,  22.58
 938000000,  22.47
 939000000,  22.55
 940000000,  22.75
 941000000,  22.81
 942000000,  22.82
 943000000,  22.78
 944000000,  22.88
 945000000,  22.88
 946000000,  22.84
 947000000,  23.03
 948000000,  23.13
 949000000,  23.07
 950000000,  23.20
 951000000,  23.33
 952000000,  23.27
 953000000,  23.20
 954000000,  23.35
 955000000,  23.32
 956000000,  23.19
 957000000,  23.26
 958000000,  23.40
 959000000,  23.42
 960000000,  23.45
 961000000,  23.43
 962000000,  23.42
 963000000,  23.48
 964000000,  23.37
 965000000,  23.40
 966000000,  23.34
 967000000,  23.18
 968000000,  23.22
 969000000,  23.39
 970000000,  23.30
 971000000,  23.17
 972000000,  23.07
 973000000,  23.08
 974000000,  23.30
 975000000,  23.18
 976000000,  23.05
 977000000,  23.07
 978000000,  23.07
 979000000,  22.89
 980000000,  22.92
 981000000,  22.93
 982000000,  22.89
 983000000,  22.83
 984000000,  22.76
 985000000,  22.64
 986000000,  22.70
 987000000,  22.81
 988000000,  22.68
 989000000,  22.58
 990000000,  22.51
 991000000,  22.63
 992000000,  22.42
 993000000,  22.42
 994000000,  22.56
 995000000,  22.57
 996000000,  22.61
 997000000,  22.63
 998000000,  22.48
 999000000,  22.49
1000000000,  22.53
1001000000,  22.59
1002000000,  22.54
1003000000,  22.49
1004000000,  22.34
1005000000,  22.31
1006000000,  22.40
1007000000,  22.46
1008000000,  22.45
1009000000,  22.36
1010000000,  22.35
1011000000,  22.38
1012000000,  22.38
1013000000,  22.54
1014000000,  22.41
1015000000,  22.40
1016000000,  22.45
1017000000,  22.33
1018000000,  22.30
1019000000,  22.42
1020000000,  22.45
