% f (Hz),	G_rec (dB),	T_e_rec (K)
900499328.000000,	54.671327,	8.107179
901498048.000000,	54.667570,	8.022363
902496768.000000,	54.651345,	7.921013
903495488.000000,	54.640932,	7.931438
904494144.000000,	54.597975,	7.939985
905492864.000000,	54.586426,	7.951163
906491584.000000,	54.584195,	7.762485
907490304.000000,	54.567953,	7.764409
908488960.000000,	54.538575,	7.794344
909487680.000000,	54.517360,	7.882270
910486400.000000,	54.534522,	7.544836
911485056.000000,	54.491660,	7.852986
912483776.000000,	54.484607,	7.573251
913482496.000000,	54.477516,	7.615805
914481216.000000,	54.474581,	7.533597
915479872.000000,	54.451509,	7.479828
916478592.000000,	54.444101,	7.609000
917477312.000000,	54.432492,	7.428749
918476032.000000,	54.414662,	7.533705
919474688.000000,	54.413499,	7.459286
920473408.000000,	54.383120,	7.536498
921472128.000000,	54.377479,	7.500579
922470848.000000,	54.384341,	7.465558
923469504.000000,	54.361112,	7.654269
924468224.000000,	54.358382,	7.557614
925466944.000000,	54.368958,	7.406240
926465600.000000,	54.360434,	7.411805
927464320.000000,	54.372474,	7.315795
928463040.000000,	54.346992,	7.480483
929461760.000000,	54.345095,	7.366082
930460416.000000,	54.356564,	7.469176
931459136.000000,	54.343836,	7.378104
932457856.000000,	54.317315,	7.578671
933456576.000000,	54.362044,	7.316491
934455232.000000,	54.352524,	7.516660
935453952.000000,	54.351451,	7.352845
936452672.000000,	54.361151,	7.462059
937451392.000000,	54.345669,	7.406293
938450048.000000,	54.372811,	7.294841
939448768.000000,	54.382715,	7.112247
940447488.000000,	54.377403,	7.203658
941446144.000000,	54.377800,	7.206862
942444864.000000,	54.380059,	7.185935
943443584.000000,	54.397606,	7.206895
944442304.000000,	54.383412,	7.229717
945440960.000000,	54.379019,	7.220421
946439680.000000,	54.378981,	7.299787
947438400.000000,	54.377394,	7.274758
948437120.000000,	54.390307,	7.250430
949435776.000000,	54.367787,	7.248694
950434496.000000,	54.383031,	7.237527
951433216.000000,	54.384235,	7.171064
952431936.000000,	54.377028,	7.033975
953430592.000000,	54.395484,	7.105210
954429312.000000,	54.386342,	7.164956
955428032.000000,	54.398942,	7.015915
956426688.000000,	54.397441,	6.937334
957425408.000000,	54.401693,	7.020082
958424128.000000,	54.403504,	6.893104
959422848.000000,	54.398141,	7.127604
960421504.000000,	54.424868,	6.834447
961420224.000000,	54.403025,	6.945851
962418944.000000,	54.404784,	6.829103
963417664.000000,	54.406528,	6.814751
964416320.000000,	54.403861,	6.877157
965415040.000000,	54.389324,	6.911663
966413760.000000,	54.387916,	6.973189
967412480.000000,	54.386137,	6.850550
968411136.000000,	54.397096,	6.770011
969409856.000000,	54.390278,	6.545629
970408576.000000,	54.376389,	6.804002
971407232.000000,	54.379910,	6.691403
972405952.000000,	54.359804,	6.622542
973404672.000000,	54.356638,	6.696931
974403392.000000,	54.358180,	6.740091
975402048.000000,	54.349244,	6.773495
976400768.000000,	54.344216,	6.705524
977399488.000000,	54.330415,	6.859431
978398208.000000,	54.323502,	6.757215
979396864.000000,	54.319533,	6.788335
980395584.000000,	54.314233,	6.816870
981394304.000000,	54.316901,	6.706370
982393024.000000,	54.306461,	6.686294
983391680.000000,	54.299641,	6.751892
984390400.000000,	54.301824,	6.749937
985389120.000000,	54.307718,	6.705337
986387840.000000,	54.282229,	6.760794
987386496.000000,	54.288142,	6.756646
988385216.000000,	54.282720,	6.753564
989383936.000000,	54.280551,	6.707951
990382592.000000,	54.257661,	6.747903
991381312.000000,	54.265083,	6.746499
992380032.000000,	54.249852,	6.800807
993378752.000000,	54.234959,	6.853114
994377408.000000,	54.233679,	6.808410
995376128.000000,	54.234498,	6.813958
996374848.000000,	54.224620,	6.859481
997373568.000000,	54.220064,	6.829250
998372224.000000,	54.210645,	6.905616
999370944.000000,	54.196311,	6.998294
1000369664.000000,	54.199782,	7.004849
1001368384.000000,	54.197727,	6.894956
1002367040.000000,	54.206729,	6.997702
1003365760.000000,	54.197940,	7.048189
1004364480.000000,	54.205073,	7.052916
1005363136.000000,	54.209566,	7.099298
1006361856.000000,	54.211648,	7.044440
1007360576.000000,	54.210693,	7.081149
1008359296.000000,	54.227526,	7.112433
1009357952.000000,	54.220987,	7.085605
1010356672.000000,	54.221512,	7.091706
1011355392.000000,	54.206631,	7.083251
1012354112.000000,	54.194430,	7.280531
1013352768.000000,	54.213392,	7.020953
1014351488.000000,	54.186845,	7.186477
1015350208.000000,	54.197723,	7.200438
1016348928.000000,	54.194880,	7.164289
1017347584.000000,	54.183166,	7.184338
1018346304.000000,	54.173698,	7.202561
1019345024.000000,	54.178770,	7.239563
1020343680.000000,	54.184333,	7.189250
1021342400.000000,	54.182805,	7.177410
1022341120.000000,	54.177842,	7.286378
1023339840.000000,	54.179413,	7.263320
1024338496.000000,	54.175820,	7.334487
1025337216.000000,	54.197149,	7.058343
1026335936.000000,	54.186442,	7.456995
1027334656.000000,	54.202488,	7.201216
1028333312.000000,	54.208552,	7.147417
1029332032.000000,	54.226199,	7.171495
1030330752.000000,	54.215240,	7.220086
1031329472.000000,	54.215585,	7.180832
1032328128.000000,	54.225611,	7.121758
1033326848.000000,	54.218949,	7.136901
1034325568.000000,	54.231189,	7.061633
1035324224.000000,	54.227191,	7.085758
1036322944.000000,	54.218653,	7.175125
1037321664.000000,	54.229990,	7.177863
1038320384.000000,	54.231999,	7.248459
1039319040.000000,	54.241721,	7.160082
1040317760.000000,	54.244977,	7.057564
1041316480.000000,	54.252719,	7.163036
1042315200.000000,	54.249056,	7.114354
1043313856.000000,	54.255615,	7.068466
1044312576.000000,	54.245657,	7.145047
1045311296.000000,	54.256231,	7.080412
1046310016.000000,	54.276719,	7.081830
1047308672.000000,	54.267712,	7.141587
1048307392.000000,	54.255071,	7.132971
1049306112.000000,	54.278904,	7.033103
1050304768.000000,	54.287453,	7.035549
1051303488.000000,	54.279617,	7.020525
1052302208.000000,	54.288899,	6.964598
1053300928.000000,	54.288116,	7.046395
1054299584.000000,	54.282709,	6.985643
1055298304.000000,	54.276132,	7.058430
1056297024.000000,	54.275788,	6.930203
1057295744.000000,	54.269048,	7.020395
1058294400.000000,	54.263313,	7.030032
1059293120.000000,	54.284102,	6.992390
1060291840.000000,	54.275580,	7.029529
1061290560.000000,	54.287021,	6.962677
1062289216.000000,	54.284633,	6.997721
1063287936.000000,	54.284109,	7.027812
1064286656.000000,	54.267006,	7.002344
1065285312.000000,	54.279920,	6.971082
1066284032.000000,	54.274226,	6.954123
1067282752.000000,	54.287741,	7.022294
1068281472.000000,	54.291006,	6.970993
1069280128.000000,	54.284750,	7.038307
1070278848.000000,	54.293285,	6.984131
1071277568.000000,	54.289380,	6.911135
1072276288.000000,	54.288926,	6.909387
1073274944.000000,	54.290219,	6.890536
1074273664.000000,	54.272229,	7.055604
1075272320.000000,	54.282144,	6.843835
1076271104.000000,	54.250590,	7.047066
1077269760.000000,	54.235552,	7.000853
1078268544.000000,	54.242215,	7.105036
1079267200.000000,	54.232048,	6.990565
1080265856.000000,	54.223280,	6.958969
1081264640.000000,	54.219508,	6.964454
