% f (Hz),G_rec (dB),T_e_rec (K)
 900000000,  55.26,   7.27
 901000000,  55.25,   7.21
 902000000,  55.24,   7.06
 903000000,  55.23,   7.08
 904000000,  55.19,   7.01
 905000000,  55.19,   7.12
 906000000,  55.17,   7.02
 907000000,  55.15,   7.10
 908000000,  55.14,   6.93
 909000000,  55.14,   6.96
 910000000,  55.12,   7.18
 911000000,  55.10,   7.03
 912000000,  55.10,   7.03
 913000000,  55.08,   6.92
 914000000,  55.07,   6.98
 915000000,  55.06,   7.04
 916000000,  55.05,   7.11
 917000000,  55.04,   7.14
 918000000,  55.03,   7.09
 919000000,  55.03,   7.10
 920000000,  55.02,   7.02
 921000000,  55.00,   7.17
 922000000,  55.00,   7.15
 923000000,  54.99,   7.13
 924000000,  54.98,   7.00
 925000000,  54.98,   7.11
 926000000,  54.96,   7.05
 927000000,  54.96,   7.09
 928000000,  54.96,   7.07
 929000000,  54.96,   7.10
 930000000,  54.95,   7.01
 931000000,  54.94,   7.18
 932000000,  54.95,   7.00
 933000000,  54.94,   7.03
 934000000,  54.93,   7.01
 935000000,  54.93,   7.02
 936000000,  54.92,   7.14
 937000000,  54.92,   7.17
 938000000,  54.93,   7.15
 939000000,  54.92,   7.19
 940000000,  54.91,   7.14
 941000000,  54.91,   7.18
 942000000,  54.91,   7.07
 943000000,  54.90,   7.17
 944000000,  54.89,   7.11
 945000000,  54.90,   7.19
 946000000,  54.89,   7.16
 947000000,  54.88,   7.16
 948000000,  54.87,   7.04
 949000000,  54.87,   7.07
 950000000,  54.87,   7.05
 951000000,  54.86,   7.15
 952000000,  54.86,   7.22
 953000000,  54.84,   7.09
 954000000,  54.83,   7.18
 955000000,  54.82,   7.25
 956000000,  54.83,   7.05
 957000000,  54.82,   7.20
 958000000,  54.82,   7.20
 959000000,  54.81,   7.22
 960000000,  54.80,   7.15
 961000000,  54.79,   7.28
 962000000,  54.78,   7.30
 963000000,  54.77,   7.13
 964000000,  54.76,   7.14
 965000000,  54.74,   7.10
 966000000,  54.74,   7.21
 967000000,  54.72,   7.20
 968000000,  54.71,   7.09
 969000000,  54.70,   7.19
 970000000,  54.70,   7.29
 971000000,  54.68,   7.22
 972000000,  54.67,   7.21
 973000000,  54.66,   7.22
 974000000,  54.64,   7.30
 975000000,  54.64,   7.24
 976000000,  54.62,   7.22
 977000000,  54.61,   7.39
 978000000,  54.61,   7.36
 979000000,  54.59,   7.31
 980000000,  54.58,   7.42
 981000000,  54.56,   7.22
 982000000,  54.55,   7.26
 983000000,  54.55,   7.36
 984000000,  54.53,   7.37
 985000000,  54.52,   7.22
 986000000,  54.51,   7.40
 987000000,  54.50,   7.37
 988000000,  54.50,   7.35
 989000000,  54.49,   7.39
 990000000,  54.48,   7.45
 991000000,  54.47,   7.42
 992000000,  54.47,   7.50
 993000000,  54.45,   7.39
 994000000,  54.44,   7.42
 995000000,  54.43,   7.40
 996000000,  54.43,   7.45
 997000000,  54.43,   7.57
 998000000,  54.42,   7.52
 999000000,  54.42,   7.61
1000000000,  54.41,   7.32
1001000000,  54.42,   7.55
1002000000,  54.42,   7.54
1003000000,  54.43,   7.63
1004000000,  54.44,   7.66
1005000000,  54.44,   7.71
1006000000,  54.46,   7.62
1007000000,  54.46,   7.81
1008000000,  54.48,   7.73
1009000000,  54.48,   7.67
1010000000,  54.47,   7.78
1011000000,  54.50,   7.77
1012000000,  54.50,   7.78
1013000000,  54.51,   7.73
1014000000,  54.52,   7.75
1015000000,  54.51,   7.82
1016000000,  54.51,   7.80
1017000000,  54.52,   7.74
1018000000,  54.54,   7.98
1019000000,  54.53,   7.95
1020000000,  54.54,   7.68
1021000000,  54.54,   7.75
1022000000,  54.54,   7.96
1023000000,  54.55,   7.81
1024000000,  54.55,   8.01
1025000000,  54.56,   7.90
1026000000,  54.56,   7.95
1027000000,  54.57,   7.91
1028000000,  54.57,   8.03
1029000000,  54.58,   7.97
1030000000,  54.59,   7.88
1031000000,  54.60,   8.08
1032000000,  54.61,   7.99
1033000000,  54.60,   8.09
1034000000,  54.59,   8.02
1035000000,  54.59,   7.80
1036000000,  54.57,   8.01
1037000000,  54.56,   8.08
1038000000,  54.56,   8.06
1039000000,  54.55,   7.98
1040000000,  54.55,   8.13
1041000000,  54.55,   8.16
1042000000,  54.54,   7.94
1043000000,  54.54,   8.08
1044000000,  54.54,   8.25
1045000000,  54.55,   8.22
1046000000,  54.56,   8.27
1047000000,  54.56,   8.14
1048000000,  54.57,   8.24
1049000000,  54.57,   8.20
1050000000,  54.56,   8.10
1051000000,  54.57,   8.16
1052000000,  54.57,   8.21
1053000000,  54.58,   8.20
1054000000,  54.57,   8.10
1055000000,  54.58,   8.12
1056000000,  54.57,   8.37
1057000000,  54.58,   8.31
1058000000,  54.57,   8.18
1059000000,  54.56,   8.15
1060000000,  54.56,   8.33
1061000000,  54.56,   8.28
1062000000,  54.57,   8.42
1063000000,  54.56,   8.29
1064000000,  54.55,   8.20
1065000000,  54.56,   8.30
1066000000,  54.55,   8.20
1067000000,  54.55,   8.30
1068000000,  54.55,   8.28
1069000000,  54.55,   8.31
1070000000,  54.55,   8.35
1071000000,  54.53,   8.38
1072000000,  54.53,   8.30
1073000000,  54.51,   8.28
1074000000,  54.51,   8.28
1075000000,  54.51,   8.39
1076000000,  54.50,   8.51
1077000000,  54.49,   8.17
1078000000,  54.49,   8.39
1079000000,  54.48,   8.33
1080000000,  54.47,   8.17
1081000000,  54.47,   8.36
1082000000,  54.46,   8.48
1083000000,  54.46,   8.41
1084000000,  54.45,   8.41
1085000000,  54.44,   8.27
1086000000,  54.44,   8.43
1087000000,  54.42,   8.37
1088000000,  54.43,   8.39
1089000000,  54.43,   8.39
1090000000,  54.42,   8.42
1091000000,  54.41,   8.28
1092000000,  54.41,   8.39
1093000000,  54.39,   8.42
1094000000,  54.40,   8.51
1095000000,  54.40,   8.39
1096000000,  54.39,   8.46
1097000000,  54.40,   8.45
1098000000,  54.39,   8.48
1099000000,  54.39,   8.47
1100000000,  54.39,   8.40
1101000000,  54.38,   8.51
