% f (Hz),G_rec (dB),T_e_rec (K)
 900000000,  55.54,   7.10
 901000000,  55.52,   7.23
 902000000,  55.50,   7.20
 903000000,  55.48,   7.18
 904000000,  55.44,   7.01
 905000000,  55.43,   7.09
 906000000,  55.41,   7.17
 907000000,  55.39,   6.96
 908000000,  55.37,   7.15
 909000000,  55.37,   6.90
 910000000,  55.34,   7.14
 911000000,  55.33,   7.23
 912000000,  55.33,   6.97
 913000000,  55.31,   7.06
 914000000,  55.30,   7.08
 915000000,  55.29,   7.11
 916000000,  55.28,   7.08
 917000000,  55.28,   7.09
 918000000,  55.27,   7.15
 919000000,  55.27,   7.11
 920000000,  55.26,   7.11
 921000000,  55.24,   7.01
 922000000,  55.24,   6.97
 923000000,  55.24,   6.99
 924000000,  55.23,   7.00
 925000000,  55.24,   6.96
 926000000,  55.22,   6.86
 927000000,  55.23,   6.88
 928000000,  55.23,   6.96
 929000000,  55.23,   6.87
 930000000,  55.22,   6.94
 931000000,  55.22,   6.85
 932000000,  55.23,   6.89
 933000000,  55.23,   6.80
 934000000,  55.23,   6.97
 935000000,  55.24,   6.88
 936000000,  55.24,   6.86
 937000000,  55.24,   6.85
 938000000,  55.24,   6.84
 939000000,  55.24,   6.89
 940000000,  55.23,   6.73
 941000000,  55.23,   6.73
 942000000,  55.24,   6.83
 943000000,  55.23,   6.83
 944000000,  55.22,   6.75
 945000000,  55.23,   6.84
 946000000,  55.22,   6.76
 947000000,  55.21,   6.90
 948000000,  55.20,   6.80
 949000000,  55.20,   6.95
 950000000,  55.20,   6.67
 951000000,  55.19,   6.79
 952000000,  55.18,   6.82
 953000000,  55.17,   6.86
 954000000,  55.15,   6.83
 955000000,  55.14,   6.86
 956000000,  55.14,   6.84
 957000000,  55.13,   6.90
 958000000,  55.11,   6.79
 959000000,  55.10,   6.83
 960000000,  55.08,   6.81
 961000000,  55.07,   6.74
 962000000,  55.05,   6.83
 963000000,  55.04,   6.85
 964000000,  55.02,   6.93
 965000000,  55.00,   6.86
 966000000,  54.99,   6.88
 967000000,  54.96,   6.91
 968000000,  54.95,   6.89
 969000000,  54.93,   6.92
 970000000,  54.92,   7.07
 971000000,  54.91,   6.90
 972000000,  54.89,   6.93
 973000000,  54.88,   7.00
 974000000,  54.85,   6.99
 975000000,  54.84,   6.96
 976000000,  54.83,   7.00
 977000000,  54.81,   7.05
 978000000,  54.80,   6.92
 979000000,  54.78,   7.13
 980000000,  54.77,   7.07
 981000000,  54.75,   7.16
 982000000,  54.74,   7.21
 983000000,  54.73,   7.20
 984000000,  54.71,   7.24
 985000000,  54.71,   7.24
 986000000,  54.69,   7.25
 987000000,  54.68,   7.30
 988000000,  54.68,   7.27
 989000000,  54.66,   7.26
 990000000,  54.65,   7.28
 991000000,  54.64,   7.29
 992000000,  54.63,   7.36
 993000000,  54.62,   7.29
 994000000,  54.61,   7.47
 995000000,  54.60,   7.43
 996000000,  54.60,   7.67
 997000000,  54.59,   7.54
 998000000,  54.59,   7.48
 999000000,  54.59,   7.46
1000000000,  54.58,   7.52
1001000000,  54.58,   7.50
1002000000,  54.58,   7.71
1003000000,  54.59,   7.46
1004000000,  54.59,   7.54
1005000000,  54.58,   7.68
1006000000,  54.59,   7.67
1007000000,  54.58,   7.77
1008000000,  54.60,   7.71
1009000000,  54.60,   7.76
1010000000,  54.58,   7.62
1011000000,  54.61,   7.66
1012000000,  54.60,   7.70
1013000000,  54.61,   7.68
1014000000,  54.62,   7.79
1015000000,  54.62,   7.73
1016000000,  54.62,   7.68
1017000000,  54.63,   7.82
1018000000,  54.64,   7.81
1019000000,  54.63,   7.80
1020000000,  54.64,   7.72
1021000000,  54.64,   7.88
1022000000,  54.65,   7.66
1023000000,  54.65,   7.74
1024000000,  54.66,   7.77
1025000000,  54.66,   7.70
1026000000,  54.67,   7.81
1027000000,  54.67,   7.79
1028000000,  54.67,   7.68
1029000000,  54.68,   7.69
1030000000,  54.69,   7.87
1031000000,  54.69,   7.84
1032000000,  54.70,   7.87
1033000000,  54.70,   7.78
1034000000,  54.70,   7.81
1035000000,  54.71,   7.72
1036000000,  54.71,   7.74
1037000000,  54.71,   7.75
1038000000,  54.72,   7.88
1039000000,  54.71,   7.87
1040000000,  54.72,   7.76
1041000000,  54.72,   7.85
1042000000,  54.72,   7.70
1043000000,  54.72,   7.76
1044000000,  54.71,   7.86
1045000000,  54.71,   7.88
1046000000,  54.70,   7.87
1047000000,  54.70,   7.82
1048000000,  54.69,   7.97
1049000000,  54.69,   7.95
1050000000,  54.67,   8.04
1051000000,  54.67,   7.85
1052000000,  54.66,   7.88
1053000000,  54.66,   7.77
1054000000,  54.65,   7.95
1055000000,  54.65,   7.78
1056000000,  54.63,   7.76
1057000000,  54.63,   7.83
1058000000,  54.62,   8.00
1059000000,  54.60,   7.85
1060000000,  54.60,   7.91
1061000000,  54.59,   7.79
1062000000,  54.58,   7.91
1063000000,  54.57,   7.89
1064000000,  54.56,   7.90
